country,year_range_used,marginal_tech,ttl_obs,tca_q95,alpha,corr_cd,dTCA_dCO2,dTCA_dGas,ttl_target,co2_required_base,co2_required_gas_override,co2_required_base_non_negative,co2_required_gas_override_non_negative,warnings_quality
DE,2030-2040,COAL,241.2609204572247,292.1842105263158,-50.92329006909108,0.2208315169968148,0.8973684210526316,2.631578947368421,160.0,19.44530858139184,,19.44530858139184,,
ES,2030-2040,CCGT,185.6481462629329,174.3090909090909,11.339055353841983,0.1750043797464875,0.3672727272727272,1.818181818181818,160.0,40.1659383930045,,40.1659383930045,,
