country,year_range_used,ttl_reference_mode,ttl_reference_year,marginal_tech,chosen_anchor_tech,ttl_obs,ttl_obs_price_cd,ttl_annual_metrics_same_year,ttl_anchor,ttl_physical,ttl_regression,ttl_method,tca_q95,alpha,alpha_effective,corr_cd,anchor_confidence,anchor_distribution_error_p90_p95,anchor_error_p90,anchor_error_p95,anchor_status,dTCA_dCO2,dTCA_dGas,ttl_target,required_co2_eur_t,required_gas_eur_mwh_th,co2_required_base,co2_required_gas_override,co2_required_base_non_negative,co2_required_gas_override_non_negative,warnings_quality
DE,2025-2035,year_specific,2035,COAL,COAL,212.65801522615288,212.65801522615288,212.65801522615288,158.8684210526316,158.8684210526316,,anchor_distributional,158.8684210526316,53.789594173521294,53.789594173521294,3.628726900618079e-16,0.5188307796251446,38.49353762998844,-23.197481086455586,53.789594173521294,already_above_target,0.8973684210526316,1.4473684210526316,160.0,0.0,0.0,0.0,,0.0,,
ES,2025-2035,year_specific,2035,CCGT,CCGT,167.7630993635321,167.7630993635321,167.7630993635321,121.54545454545452,121.54545454545452,,anchor_distributional,121.54545454545452,46.21764481807756,46.21764481807756,,0.5966143081275812,32.2708553497935,-18.32406588150944,46.21764481807756,already_above_target,0.3672727272727272,1.818181818181818,160.0,0.0,0.0,0.0,,0.0,,
