country,year,ir_p10,p10_must_run_mw,p10_load_mw,p50_must_run_mw,p50_load_mw,ir_case_class
BE,2025,0.5009774757808653,4256.8197411048495,8497.028203652899,5154.889642246361,10483.588372944325,mixed
BE,2026,0.4916133833103642,4256.8197411048495,8658.87684432188,5154.889642246361,10683.276368185385,mixed
BE,2027,0.482592928251554,4256.8197411048495,8820.725484990862,5154.889642246361,10882.96436342644,mixed
BE,2028,0.4750677417766085,4256.503824568152,8959.782890436058,5153.907119909758,11053.365728990457,mixed
BE,2029,0.4655099452290325,4256.8197411048495,9144.422766328826,5154.889642246361,11282.340353908558,mixed
BE,2030,0.4614596465102027,,,,,mixed
BE,2031,0.4495950325591668,4256.8197411048495,9468.120047666787,5154.889642246361,11681.716344390674,mixed
BE,2032,0.4431303302561086,4256.503824568152,9605.53483691376,5153.907119909758,11850.006955893909,mixed
BE,2033,0.4347323482532243,4256.8197411048495,9791.817329004749,5154.889642246361,12081.092334872792,mixed
BE,2034,0.4276635115217135,4256.8197411048495,9953.665969673732,5154.889642246361,12280.780330113848,mixed
BE,2035,0.4208208781343086,4256.8197411048495,10115.514610342714,5154.889642246361,12480.468325354908,mixed
CZ,2025,0.6513912660334391,3870.6991243035104,5942.202983275505,5026.561564469826,7845.856987936162,mixed
CZ,2026,0.6392156807449086,3870.6991243035104,6055.388252980276,5026.561564469826,7995.302478395512,mixed
CZ,2027,0.6274869076406304,3870.6991243035104,6168.573522685048,5026.561564469826,8144.747968854861,mixed
CZ,2028,0.6175229348612833,3871.158809018965,6268.850257178804,5028.145780671297,8270.308260978862,mixed
CZ,2029,0.6052748994704589,3870.6991243035104,6394.94406209459,5026.561564469826,8443.63894977356,mixed
CZ,2030,0.598225434667814,,,,,mixed
CZ,2031,0.5845816665204554,3870.6991243035104,6621.314601504132,5026.561564469826,8742.529930692259,mixed
CZ,2032,0.5760086420301457,3871.158809018965,6720.660987611304,5028.145780671297,8866.368760592137,mixed
CZ,2033,0.5652565859339511,3870.6991243035104,6847.685140913674,5026.561564469826,9041.420911610958,mixed
CZ,2034,0.5560653906728332,3870.6991243035104,6960.870410618445,5026.561564469826,9190.866402070307,mixed
CZ,2035,0.5471683146444581,3870.6991243035104,7074.055680323217,5026.561564469826,9340.31189252966,mixed
DE,2025,0.0502459249379299,2355.646431232241,46882.337903864405,2586.265437959775,60260.15931065623,must_run_floor_effect
DE,2026,0.0493067487708658,2355.646431232241,47775.33481631895,2586.265437959775,61407.97186895443,must_run_floor_effect
DE,2027,0.0484020377842444,2355.646431232241,48668.331728773526,2586.265437959775,62555.784427252656,must_run_floor_effect
DE,2028,0.047655371707905,2356.0858693832997,49440.090066330784,2586.504602787825,63527.7802318136,must_run_floor_effect
DE,2029,0.0466886913140057,2355.646431232241,50454.32555368265,2586.265437959775,64851.40954384909,must_run_floor_effect
DE,2030,0.0460630370874062,,,,,mixed
DE,2031,0.0450924967391679,2355.646431232241,52240.31937859177,2586.265437959775,67147.03466044553,must_run_floor_effect
DE,2032,0.0444516492401467,2356.0858693832997,53003.33980084112,2586.504602787825,68106.35898725962,must_run_floor_effect
DE,2033,0.0436018356899392,2355.646431232241,54026.31320350089,2586.265437959775,69442.65977704195,must_run_floor_effect
DE,2034,0.0428928627518914,2355.646431232241,54919.31011595545,2586.265437959775,70590.47233534016,must_run_floor_effect
DE,2035,0.0422065769478611,2355.646431232241,55812.30702841001,2586.265437959775,71738.28489363837,must_run_floor_effect
ES,2025,0.0932483412436106,2194.3088333300398,23531.880611124467,2648.9347173362,29565.18219881481,mixed
ES,2026,0.0915053804327414,2194.3088333300398,23980.10721285299,2648.9347173362,30128.328908822965,mixed
ES,2027,0.0898263815283314,2194.3088333300398,24428.333814581518,2648.9347173362,30691.47561883112,mixed
ES,2028,0.0884510997016486,2194.154794645084,24806.416223722623,2649.646301748664,31175.3202395136,mixed
ES,2029,0.0866466846006269,2194.3088333300398,25324.78701803856,2648.9347173362,31817.769038847426,mixed
ES,2030,0.0858355216446282,,,,,mixed
ES,2031,0.0836844029799624,2194.3088333300398,26221.240221495613,2648.9347173362,32944.06245886374,mixed
ES,2032,0.0825048037218735,2194.154794645084,26594.26719008573,2649.646301748664,33422.1916099775,mixed
ES,2033,0.0809179748050002,2194.3088333300398,27117.69342495266,2648.9347173362,34070.355878880044,mixed
ES,2034,0.0796022346145587,2194.3088333300398,27565.920026681182,2648.9347173362,34633.50258888821,mixed
ES,2035,0.0783285981342278,2194.3088333300398,28014.14662840971,2648.9347173362,35196.64929889636,mixed
FR,2025,0.1011425178201592,4283.114138802256,42347.315759115554,5043.795018539236,54212.128947099336,mixed
FR,2026,0.0992520055539993,4283.114138802256,43153.93039057503,5043.795018539236,55244.73976616606,mixed
FR,2027,0.0974308698096308,4283.114138802256,43960.54502203449,5043.795018539236,56277.35058523278,mixed
FR,2028,0.0959865277898723,4281.872549682299,44609.09930043417,5043.230523328932,57136.94442260484,mixed
FR,2029,0.0939819930651731,4283.114138802256,45573.77428495341,5043.795018539236,58342.57222336622,mixed
FR,2030,0.0927075251498964,,,,,mixed
FR,2031,0.090768936714893,4283.114138802256,47187.00354787234,5043.795018539236,60407.79386149968,mixed
FR,2032,0.089533658373026,4281.872549682299,47824.16610122908,5043.230523328932,61254.9180197582,mixed
FR,2033,0.087768313635076,4283.114138802256,48800.23281079126,5043.795018539236,62473.015499633104,mixed
FR,2034,0.0863411879537073,4283.114138802256,49606.847442250735,5043.795018539236,63505.62631869984,mixed
FR,2035,0.0849597302510162,4283.114138802256,50413.462073710194,5043.795018539236,64538.23713776656,mixed
IT_NORD,2025,0.080708482824793,1139.38740266509,14117.319057261207,2576.386564326759,19864.03933630469,mixed
IT_NORD,2026,0.0791999093253475,1139.38740266509,14386.221049629848,2576.386564326759,20242.4029429042,mixed
IT_NORD,2027,0.0777466964555566,1139.38740266509,14655.123041998484,2576.386564326759,20620.766549503704,mixed
IT_NORD,2028,0.0764171149131823,1137.0218624978666,14879.151925450728,2574.493886165815,20931.690362390877,mixed
IT_NORD,2029,0.074994594567594,1139.38740266509,15192.92702673576,2576.386564326759,21377.493762702725,mixed
IT_NORD,2030,0.0738946508373925,,,,,mixed
IT_NORD,2031,0.0724306710116707,1139.38740266509,15730.731011473035,2576.386564326759,22134.220975901742,mixed
IT_NORD,2032,0.071279818464874,1137.0218624978666,15951.52578928324,2574.493886165815,22440.284251540437,mixed
IT_NORD,2033,0.0700362634330937,1139.38740266509,16268.534996210312,2576.386564326759,22890.94818910076,mixed
IT_NORD,2034,0.0688974599541616,1139.38740266509,16537.43698857895,2576.386564326759,23269.31179570027,mixed
IT_NORD,2035,0.0677950982636224,1139.38740266509,16806.33898094759,2576.386564326759,23647.675402299777,mixed
NL,2025,0.0036836220053125,45.82844465076283,12441.13662712113,101.0784974885692,15005.97326951984,mixed
NL,2026,0.00361476952453,45.82844465076283,12678.109721731547,101.0784974885692,15291.800202371567,mixed
NL,2027,0.0035484437306723,45.82844465076283,12915.082816341965,101.0784974885692,15577.627135223294,mixed
NL,2028,0.0034999722357702,45.902025129239405,13114.96835892418,100.9089016650597,15817.863509059616,mixed
NL,2029,0.0034228355642311,45.82844465076283,13389.029005562796,101.0784974885692,16149.281000926749,mixed
NL,2030,0.0033633082039654,,,,,mixed
NL,2031,0.0033058159599107,45.82844465076283,13862.975194783632,101.0784974885692,16720.934866630203,mixed
NL,2032,0.0032646808049825,45.902025129239405,14060.187770634217,100.9089016650597,16957.88544669313,mixed
NL,2033,0.0031965331624049,45.82844465076283,14336.921384004463,101.0784974885692,17292.588732333657,mixed
NL,2034,0.0031445571887466,45.82844465076283,14573.89447861488,101.0784974885692,17578.415665185385,mixed
NL,2035,0.0030942444407247,45.82844465076283,14810.867573225298,101.0784974885692,17864.24259803711,mixed
