technology,techdetail,techdetail2,metric,parameter,parameterdetail,value,units,$year,scenario,year,atb_year,description,resourcedetail,resourcedetail2,source,notes
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Lithium-ion Battery Cabinets,301.936382,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Battery Central Inverter,21.24210758,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Structural BOS,2.804499788,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Electrical BOS,45.3984731,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Installation Labor & Equipment,12.33169943,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,EPC Overhead,11.87609477,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Sale Tax,18.94302925,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Total EPC Cost,414.532286,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Land acquisition,0,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Permitting fee,0.779590194,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Interconnection fee,5.760867796,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Contingency,11.08638003,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Developer overhead,23.37758127,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,EPC/developer net profit,21.20080345,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Total Developer cost,62.20522274,$/kWh,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Total energy storage system cost,476.7375087,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Lithium-ion Battery Cabinets,302.0032337,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Battery Central Inverter,21.24209375,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Structural BOS,19.59241813,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Electrical BOS,78.68824843,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Installation Labor & Equipment,75.26355746,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,EPC Overhead,54.92021041,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Sale Tax,27.48854948,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Total EPC Cost,579.1983113,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Land acquisition,0,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Permitting fee,8.214707254,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Interconnection fee,7.293112673,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Contingency,17.14621029,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Developer overhead,39.68545554,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,EPC/developer net profit,35.91943324,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Total Developer cost,108.258919,$/kWh,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Total energy storage system cost,687.4572303,$/kWh,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Battery Pack,3714.29,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Inverter,2411.715385,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,BOS,1647.409768,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Supply Chain Costs,502.5283147,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Sales Tax,412.1152706,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Install Labor & Equipments,1136.470938,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Engineering Fee,99.87487425,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,PII,1716.796523,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Sales & Marketing,4048.612008,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Overhead & Profit,4064.381725,$,2022,Base,2023,2024,,,,,
Residential Scale Battery Storage,- 5 kW 12.5 kWh,,Cost,Capital Cost,Total,19754.1948,$,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Lithium-ion Battery Cabinets,1207.745528,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Battery Central Inverter,84.96843031,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Structural BOS,11.21799915,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Electrical BOS,181.5938924,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Installation Labor & Equipment,49.32679772,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,EPC Overhead,47.50437908,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Sale Tax,75.77211702,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Total EPC Cost,1658.129144,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Land acquisition,0,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Permitting fee,3.118360775,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Interconnection fee,23.04347118,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Contingency,44.34552011,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Developer overhead,93.51032506,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,EPC/developer net profit,84.80321381,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Total Developer cost,248.8208909,$/kW,2022,Base,2023,2024,,,,,
Utility Scale Battery Storage,60MW 240MWh,,Cost,Capital Cost,Total energy storage system cost,1906.950035,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Lithium-ion Battery Cabinets,1208.012935,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Battery Central Inverter,84.968375,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Structural BOS,78.36967253,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Electrical BOS,314.7529937,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Installation Labor & Equipment,301.0542298,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,EPC Overhead,219.6808416,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Sale Tax,109.9541979,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Total EPC Cost,2316.793245,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Land acquisition,0,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Permitting fee,32.85882902,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Interconnection fee,29.17245069,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Contingency,68.58484117,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Developer overhead,158.7418222,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,EPC/developer net profit,143.677733,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Total Developer cost,433.035676,$/kW,2022,Base,2023,2024,,,,,
Commercial Scale Battery Storage,1800 kW 7200 kWh,,Cost,Capital Cost,Total energy storage system cost,2749.828921,$/kW,2022,Base,2023,2024,,,,,
CSP,,,Cost,OCC,Power Block,2191,$/kWe,2022 $,Base,2022,2024,Power Block/Turbine cost based on movement of 1yr,,,,
CSP,,,Cost,OCC,Power Block,2191,$/kWe,2022 $,Conservative,2030,2024,Potential Power Block/Turbine cost in 2030,,,,
CSP,,,Cost,OCC,Power Block,1424,$/kWe,2022 $,Moderate,2030,2024,Potential Power Block/Turbine cost in 2030,,,,
CSP,,,Cost,OCC,Power Block,1139,$/kWe,2022 $,Advanced,2030,2024,Potential Power Block/Turbine cost in 2030,,,,
CSP,,,Cost,OCC,Thermal Storage,880,$/kWe,2022 $,Base,2022,2024,Storage cost based on movement of 1yr,,,,
CSP,,,Cost,OCC,Thermal Storage,880,$/kWe,2022 $,Conservative,2030,2024,Storage cost based in 2030 (10hrs of TES plant),,,,
CSP,,,Cost,OCC,Thermal Storage,572,$/kWe,2022 $,Moderate,2030,2024,Storage cost based in 2030 (10hrs of TES plant),,,,
CSP,,,Cost,OCC,Thermal Storage,457,$/kWe,2022 $,Advanced,2030,2024,Storage cost based in 2030 (10hrs of TES plant),,,,
CSP,,,Cost,OCC,Solar Field,4276,$/kWe,2022 $,Base,2022,2024,Solar Field cost based on movement of 1yr,,,,
CSP,,,Cost,OCC,Solar Field,4276,$/kWe,2022 $,Conservative,2030,2024,Potential Solar Field cost in 2030,,,,
CSP,,,Cost,OCC,Solar Field,2780,$/kWe,2022 $,Moderate,2030,2024,Potential Solar Field cost in 2030,,,,
CSP,,,Cost,OCC,Solar Field,2224,$/kWe,2022 $,Advanced,2030,2024,Potential Solar Field cost in 2030,,,,
CSP,,,Technology,Annual Energy Production,,5834,kWhe/kWe,,,2022,2024,Annual Energy Production ratio at CSP Class 2,,,,
CSP,,,Technology,Annual Energy Production,,5668,kWhe/kWe,,,2022,2024,Annual Energy Production ratio at CSP Class 3,,,,
CSP,,,Technology,Annual Energy Production,,4503,kWhe/kWe,,,2022,2024,Annual Energy Production ratio at CSP Class 7,,,,
CSP,,,Cost,Capex,,7812,$/kWe,2022 $,Base,2022,2024,"CAPEX for representative 115MW gross (104 net MWE net), 10hrs of TES plant",,,,
CSP,,,Cost,Capex,,7812,$/kWe,2022 $,Conservative,2030,2024,"CAPEX for representative 115MW gross (104 net MWE net), 10hrs of TES plant for 2030",,,,
CSP,,,Cost,Capex,,5078,$/kWe,2022 $,Moderate,2030,2024,"Potential CAPEX for representative 115MW gross (104 net MWE net), 10hrs of TES plant, Moderate case e.g. global improvements in the technology, learning and improved supply chains",,,,
CSP,,,Cost,Capex,,4062,$/kWe,2022 $,Advanced,2030,2024,"Potential CAPEX for representative 115MW gross (104 net MWE net), 10hrs of TES plant, Advanced case e.g. development of new technology, signifcant learning, and expansion",,,,
CSP,,,Cost,OCC,Total,7347,$/kWe,2022 $,Base,2022,2024,Overnight Cost of Capital (OCC) in 2022,,,,
CSP,,,Cost,OCC,Total,7347,$/kWe,2022 $,Conservative,2030,2024,Potential OCC in Conservative Case in 2030,,,,
CSP,,,Cost,OCC,Total,4775,$/kWe,2022 $,Moderate,2030,2024,Potential OCC in Moderate Case in 2030,,,,
CSP,,,Cost,OCC,Total,3820,$/kWe,2022 $,Advanced,2030,2024,Potential OCC in Advanced Case in 2030,,,,
CSP,,,Cost,Opex (fixed),,74.6,$/kWe-yr,2022 $,Base,2022,2024,Fixed O&M (FOM),,,,
CSP,,,Cost,Opex (fixed),,74.6,$/kWe-yr,2022 $,Conservative,2030,2024,Potential FOM in 2030,,,,
CSP,,,Cost,Opex (fixed),,55,$/kWe-yr,2022 $,Moderate,2030,2024,Potential FOM in 2030,,,,
CSP,,,Cost,Opex (fixed),,45,$/kWe-yr,2022 $,Advanced,2030,2024,Potential FOM in 2030,,,,
CSP,,,Cost,Opex (variable),,4,$/MWhe,2022 $,Base,2022,2024,Variable O&M (VOM),,,,
CSP,,,Cost,Opex (variable),,4,$/MWhe,2022 $,Conservative,2030,2024,Potential VOM in 2030. Not expected Basely to change,,,,
CSP,,,Cost,Opex (variable),,3,$/MWhe,2022 $,Moderate,2030,2024,Potential VOM in 2030. Not expected Basely to change,,,,
CSP,,,Cost,Opex (variable),,2.9,$/MWhe,2022 $,Advanced,2030,2024,Potential VOM in 2030. Not expected Basely to change,,,,
CSP,,,Technology,Net Capacity Factor,,66.6,%,,,2022,2024,Net Capacity Factor at CSP Class 2,,,,
CSP,,,Technology,Net Capacity Factor,,64.7,%,,,2022,2024,Net Capacity Factor at CSP Class 3,,,,
CSP,,,Technology,Net Capacity Factor,,51.4,%,,,2022,2024,Net Capacity Factor at CSP Class 8,,,,
Geothermal,HydroFlash,,Technology,Estimated Temperature,,225,C,2022,Base,2022,2024,2022 Base Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Technology,Estimated Temperature,,225,C,2022,Moderate,2035,2024,2023 Moderate Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Technology,Estimated Temperature,,225,C,2022,Advanced,2035,2024,2024 Advanced Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Technology,Estimated Depth,,2500,km,2022,Base,2022,2024,2022 Base Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Technology,Estimated Depth,,2500,km,2022,Moderate,2035,2024,2023 Moderate Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Technology,Estimated Depth,,2500,km,2022,Advanced,2035,2024,2024 Advanced Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Technology,Net Capacity,,40,MW,2022,Base,2022,2024,2022 Base Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Cost,Overnight Capital Cost,,4759.156206,$/kW net,2022,Base,2022,2024,2023 Base Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Cost,O&M Costs,,0.023574652,$/kWh,2022,Base,2022,2024,2024 Base Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Cost,O&M Costs,,121.1156495,$/kW,2022,Base,2022,2024,2025 Base Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Technology,Net Capacity,,40,MW,2022,Moderate,2035,2024,2023 Moderate Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Cost,Overnight Capital Cost,,4126.954336,$/kW net,2022,Moderate,2035,2024,2024 Moderate Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Cost,O&M Costs,,0.021688875,$/kWh,2022,Moderate,2035,2024,2025 Moderate Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Cost,O&M Costs,,112.3301962,$/kW,2022,Moderate,2035,2024,2026 Moderate Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Technology,Net Capacity,,40,MW,2022,Advanced,2035,2024,2024 Advanced Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Cost,Overnight Capital Cost,,3776.341423,$/kW net,2022,Advanced,2035,2024,2025 Advanced Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Cost,O&M Costs,,0.021293759,$/kWh,2022,Advanced,2035,2024,2026 Advanced Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroFlash,,Cost,O&M Costs,,111.471524,$/kW,2022,Advanced,2035,2024,2027 Advanced Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Technology,Estimated Temperature,,175,C,2022,Base,2022,2024,2022 Base Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Technology,Estimated Temperature,,175,C,2022,Moderate,2035,2024,2023 Moderate Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Technology,Estimated Temperature,,175,C,2022,Advanced,2035,2024,2024 Advanced Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Technology,Estimated Depth,,1500,km,2022,Base,2022,2024,2022 Base Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Technology,Estimated Depth,,1500,km,2022,Moderate,2035,2024,2023 Moderate Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Technology,Estimated Depth,,1500,km,2022,Advanced,2035,2024,2024 Advanced Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Technology,Net Capacity,,30,MW,2022,Base,2022,2024,2022 Base Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Cost,Overnight Capital Cost,,6348.565276,$/kW net,2022,Base,2022,2024,2023 Base Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Cost,O&M Costs,,0.032587532,$/kWh,2022,Base,2022,2024,2024 Base Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Cost,O&M Costs,,161.1681072,$/kW,2022,Base,2022,2024,2025 Base Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Technology,Net Capacity,,30,MW,2022,Moderate,2035,2024,2023 Moderate Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Cost,Overnight Capital Cost,,5300.720502,$/kW net,2022,Moderate,2035,2024,2024 Moderate Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Cost,O&M Costs,,0.026439451,$/kWh,2022,Moderate,2035,2024,2025 Moderate Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Cost,O&M Costs,,133.3526668,$/kW,2022,Moderate,2035,2024,2026 Moderate Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Technology,Net Capacity,,30,MW,2022,Advanced,2035,2024,2024 Advanced Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Cost,Overnight Capital Cost,,4688.433314,$/kW net,2022,Advanced,2035,2024,2025 Advanced Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Cost,O&M Costs,,0.024530377,$/kWh,2022,Advanced,2035,2024,2026 Advanced Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,HydroBinary,,Cost,O&M Costs,,125.6374342,$/kW,2022,Advanced,2035,2024,2027 Advanced Scenario Representative Plant,Hydrothermal Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Technology,Estimated Temperature,,225,C,2022,Base,2022,2024,2022 Base Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Technology,Estimated Temperature,,225,C,2022,Moderate,2035,2024,2023 Moderate Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Technology,Estimated Temperature,,225,C,2022,Advanced,2035,2024,2024 Advanced Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Technology,Estimated Depth,,2500,km,2022,Base,2022,2024,2022 Base Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Technology,Estimated Depth,,2500,km,2022,Moderate,2035,2024,2023 Moderate Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Technology,Estimated Depth,,2500,km,2022,Advanced,2035,2024,2024 Advanced Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Technology,Net Capacity,,40,MW,2022,Base,2022,2024,2022 Base Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Cost,Overnight Capital Cost,,6535.259752,$/kW net,2022,Base,2022,2024,2023 Base Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Cost,O&M Costs,,0.029885297,$/kWh,2022,Base,2022,2024,2024 Base Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Cost,O&M Costs,,154.2708774,$/kW,2022,Base,2022,2024,2025 Base Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Technology,Net Capacity,,40,MW,2022,Moderate,2035,2024,2023 Moderate Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Cost,Overnight Capital Cost,,5245.48124,$/kW net,2022,Moderate,2035,2024,2024 Moderate Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Cost,O&M Costs,,0.026677799,$/kWh,2022,Moderate,2035,2024,2025 Moderate Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Cost,O&M Costs,,139.6426148,$/kW,2022,Moderate,2035,2024,2026 Moderate Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Technology,Net Capacity,,100,MW,2022,Advanced,2035,2024,2024 Advanced Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Cost,Overnight Capital Cost,,3382.799938,$/kW net,2022,Advanced,2035,2024,2025 Advanced Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Cost,O&M Costs,,0.021077926,$/kWh,2022,Advanced,2035,2024,2026 Advanced Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSFlash,,Cost,O&M Costs,,112.0737248,$/kW,2022,Advanced,2035,2024,2027 Advanced Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Technology,Estimated Temperature,,175,C,2022,Base,2022,2024,2022 Base Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Technology,Estimated Temperature,,175,C,2022,Moderate,2035,2024,2023 Moderate Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Technology,Estimated Temperature,,175,C,2022,Advanced,2035,2024,2024 Advanced Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Technology,Estimated Depth,,1500,km,2022,Base,2022,2024,2022 Base Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Technology,Estimated Depth,,1500,km,2022,Moderate,2035,2024,2023 Moderate Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Technology,Estimated Depth,,1500,km,2022,Advanced,2035,2024,2024 Advanced Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Technology,Net Capacity,,30,MW,2022,Base,2022,2024,2022 Base Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Cost,Overnight Capital Cost,,9139.889157,$/kW net,2022,Base,2022,2024,2023 Base Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Cost,O&M Costs,,0.040013321,$/kWh,2022,Base,2022,2024,2024 Base Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Cost,O&M Costs,,199.9607341,$/kW,2022,Base,2022,2024,2025 Base Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Technology,Net Capacity,,40,MW,2022,Moderate,2035,2024,2023 Moderate Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Cost,Overnight Capital Cost,,6773.009723,$/kW net,2022,Moderate,2035,2024,2024 Moderate Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Cost,O&M Costs,,0.031910413,$/kWh,2022,Moderate,2035,2024,2025 Moderate Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Cost,O&M Costs,,161.6960803,$/kW,2022,Moderate,2035,2024,2026 Moderate Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
Geothermal,NFEGSBinary,,Technology,Net Capacity,,100,MW,2022,Advanced,2035,2024,2024 Advanced Scenario Representative Plant,NF-EGS Representative,,GETEM-ATB,
