country,tech,phase2_start_year_for_slope,phase2_start_reason,phase2_end_year,years_used,years_used_no_outliers,x_axis_used,x_unit,slope,intercept,r2,p_value,n,slope_method,robust_flag,reason_code,slope_all_years,slope_excluding_outliers,outlier_years_count,mean_sr_energy_phase2,mean_far_energy_phase2,mean_ir_p10_phase2,mean_ttl_phase2,vre_load_corr_phase2,surplus_load_trough_share_phase2
DE,PV,2025.0,q1_no_bascule_use_scenario_start,2040,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040",pv_penetration_pct_gen,pct_point,-9.568450944628195e-05,0.6079151996438283,0.1075686335293335,0.2149209465321137,16,OLS,ROBUST,ok,-9.568450944628195e-05,-9.568450944628195e-05,0,0.0,1.0,0.0480476934283593,223.83804272276944,,
DE,WIND,2025.0,q1_no_bascule_use_scenario_start,2040,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040",wind_penetration_pct_gen,pct_point,-2.5073620990995542e-05,0.6049383341416347,0.105135285336109,0.2204937513031444,16,OLS,ROBUST,ok,-2.5073620990995542e-05,-2.5073620990995542e-05,0,0.0,1.0,0.0480476934283593,223.83804272276944,,
ES,PV,2025.0,q1_no_bascule_use_scenario_start,2040,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040",pv_penetration_pct_gen,pct_point,-0.0002695385894175,0.5774254125547927,0.0734380832629687,0.3100059739569802,16,OLS,NOT_SIGNIFICANT,p_value_high,-0.0002695385894175,-0.0002695385894175,0,0.0,1.0,0.087875363307474,170.5708309372941,,
ES,WIND,2025.0,q1_no_bascule_use_scenario_start,2040,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040",wind_penetration_pct_gen,pct_point,-0.0001530676914102,0.6017294619905845,0.0649316461764789,0.3408748660752261,16,OLS,NOT_SIGNIFICANT,p_value_high,-0.0001530676914102,-0.0001530676914102,0,0.0,1.0,0.087875363307474,170.5708309372941,,
