country,year,ir_p10,p10_must_run_mw,p10_load_mw,p50_must_run_mw,p50_load_mw,ir_case_class
BE,2025,0.4208212399573517,3250.6623477527933,7724.568151745935,3936.461181351767,9530.531254073709,mixed
BE,2026,0.4129553831142651,3250.6623477527933,7871.703531839739,3936.461181351767,9712.066106380897,mixed
BE,2027,0.4053781829829746,3250.6623477527933,8018.838911933543,3936.461181351767,9893.600958688085,mixed
BE,2028,0.3990570099107904,3250.421102397497,8145.254992824538,3935.7108915674503,10048.511609324654,mixed
BE,2029,0.3910284449457242,3250.6623477527933,8313.109672121152,3936.461181351767,10256.670663302462,mixed
BE,2030,0.3878304558258245,,,,,mixed
BE,2031,0.3776598900579635,3250.6623477527933,8607.38043230876,3936.461181351767,10619.740367916842,mixed
BE,2032,0.3722295274592133,3250.421102397497,8732.303223187093,3935.7108915674503,10772.732147936184,mixed
BE,2033,0.3651752104702702,3250.6623477527933,8901.651192496369,3936.461181351767,10982.81007253122,mixed
BE,2034,0.3592373763792183,3250.6623477527933,9048.786572590174,3936.461181351767,11164.34492483841,mixed
BE,2035,0.3534895537911819,3250.6623477527933,9195.921952683975,3936.461181351767,11345.879777145596,mixed
CZ,2025,0.5471687427462486,2955.806604013589,5402.001929383519,3838.4651946860495,7132.596228332721,mixed
CZ,2026,0.5369412176310265,2955.806604013589,5504.897942189177,3838.4651946860495,7268.456178484917,mixed
CZ,2027,0.5270890171313918,2955.806604013589,5607.793954994837,3838.4651946860495,7404.316128637116,mixed
CZ,2028,0.5187192510647459,2956.1576359781197,5698.954935468812,3839.674959785354,7518.462261525612,mixed
CZ,2029,0.5084308744850456,2955.806604013589,5813.585980606155,3838.4651946860495,7676.036028941511,mixed
CZ,2030,0.5028059988072084,,,,,mixed
CZ,2031,0.4910485104873805,2955.806604013589,6019.378006217475,3838.4651946860495,7947.755929245906,mixed
CZ,2032,0.4838471479643254,2956.1576359781197,6109.6932128575445,3839.674959785354,8060.337091714489,mixed
CZ,2033,0.4748154008486174,2955.806604013589,6225.170031828793,3838.4651946860495,8219.475829550303,mixed
CZ,2034,0.4670947779566567,2955.806604013589,6328.066044634453,3838.4651946860495,8355.3357797025,mixed
CZ,2035,0.4596212164856355,2955.806604013589,6430.962057440112,3838.4651946860495,8491.195729854697,mixed
DE,2025,0.0422065713543047,1798.8572747591656,42620.312833719305,1974.9663344420103,54781.97026983656,must_run_floor_effect
DE,2026,0.0414176640428134,1798.8572747591656,43432.12772453045,1974.9663344420103,55825.43560962736,must_run_floor_effect
DE,2027,0.0406577074380213,1798.8572747591656,44243.9426153416,1974.9663344420103,56868.90094941815,must_run_floor_effect
DE,2028,0.0400305085066851,1799.1928457108834,44945.5406096182,1975.148969401612,57752.53286183556,must_run_floor_effect
DE,2029,0.0392184975300379,1798.8572747591656,45867.57239696389,1974.9663344420103,58955.83162899973,must_run_floor_effect
DE,2030,0.0387133450001058,,,,,mixed
DE,2031,0.0378776950727575,1798.8572747591656,47491.20217858617,1974.9663344420103,61042.76230858132,must_run_floor_effect
DE,2032,0.0373393836151877,1799.1928457108834,48184.85661822931,1975.148969401612,61914.87470264432,must_run_floor_effect
DE,2033,0.0366255406557545,1798.8572747591656,49114.83196020848,1974.9663344420103,63129.6929881629,must_run_floor_effect
DE,2034,0.0360300037798839,1798.8572747591656,49926.646851019614,1974.9663344420103,64173.1583279537,must_run_floor_effect
DE,2035,0.0354535240723728,1798.8572747591656,50738.46174183076,1974.9663344420103,65216.62366774449,must_run_floor_effect
ES,2025,0.0783285853686237,1675.6540181793027,21392.62454815791,2022.8228750567337,26877.445663145587,mixed
ES,2026,0.076864499660799,1675.6540181793027,21800.10311097997,2022.8228750567337,27389.397009110267,mixed
ES,2027,0.0754541418688577,1675.6540181793027,22207.581673802026,2022.8228750567337,27901.348355074944,mixed
ES,2028,0.0742989062951608,1675.536388638064,22551.292773837155,2023.366266789889,28341.20687562576,mixed
ES,2029,0.0727831987938539,1675.6540181793027,23022.53879944613,2022.8228750567337,28925.251047004294,mixed
ES,2030,0.0721602545060212,,,,,mixed
ES,2031,0.0702948843051751,1675.6540181793027,23837.49592509024,2022.8228750567337,29949.15373893365,mixed
ES,2032,0.0693040218383432,1675.536388638064,24176.611171951543,2023.366266789889,30383.816380175365,mixed
ES,2033,0.0679710864769048,1675.6540181793027,24652.45305073436,2022.8228750567337,30973.056430863016,mixed
ES,2034,0.0668658655585812,1675.6540181793027,25059.93161355641,2022.8228750567337,31485.00777682769,mixed
ES,2035,0.0657960117096439,1675.6540181793027,25467.410176378464,2022.8228750567337,31996.959122792367,mixed
FR,2025,0.0849597392813402,3270.7417059944496,38497.54876440403,3851.6252868845063,49283.7394850432,mixed
FR,2026,0.0833717060706403,3270.7417059944496,39230.83573728441,3851.6252868845063,50222.47780213388,mixed
FR,2027,0.0818419493332839,3270.7417059944496,39964.12271016479,3851.6252868845063,51161.21611922454,mixed
FR,2028,0.0806286995569668,3269.7935833937554,40553.71848188543,3851.19421781482,51942.66630276703,mixed
FR,2029,0.0789448879693568,3270.7417059944496,41430.696655925545,3851.6252868845063,53038.69275340588,mixed
FR,2030,0.0778861070258307,,,,,mixed
FR,2031,0.0762459163512812,3270.7417059944496,42897.27060168631,3851.6252868845063,54916.169387587215,mixed
FR,2032,0.0752082806293046,3269.7935833937554,43476.51024639556,3851.19421781482,55686.28348461041,mixed
FR,2033,0.0737253892073396,3270.7417059944496,44363.844547447065,3851.6252868845063,56793.64602176855,mixed
FR,2034,0.0725266019307717,3270.7417059944496,45097.13152032745,3851.6252868845063,57732.38433885922,mixed
FR,2035,0.0713661758615444,3270.7417059944496,45830.41849320782,3851.6252868845063,58671.12265594988,mixed
