dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,revenue_bess_price_taker,soc_min,soc_max,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,initial_deliverable_mwh,engine_version,compute_time_sec,cache_hit
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,,,0.0,0.0,143.09748214463005,143.09748214463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2505562999867834,False
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,4.0,,,0.0,0.0,143.09748214463005,143.09748214463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2505562999867834,False
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,6.0,,,0.0,0.0,143.09748214463005,143.09748214463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2505562999867834,False
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,8.0,,,0.0,0.0,143.09748214463005,143.09748214463005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2505562999867834,False
SURPLUS_FIRST,FAR_TARGET,250.0,500.0,2.0,,,0.0,0.0,143.09748214463005,143.09748214463005,30671.97851882364,0.0,0.0,0.0,234.5207879911715,0.0,234.5207879911715,234.5207879911715,v2.1.1,0.2505562999867834,False
SURPLUS_FIRST,FAR_TARGET,250.0,1000.0,4.0,,,0.0,0.0,143.09748214463005,143.09748214463005,61279.736486753885,0.0,233.49910455548692,0.0,250.0,0.0,469.0415759823429,469.041575982343,v2.1.1,0.2505562999867834,False
SURPLUS_FIRST,FAR_TARGET,250.0,1500.0,6.0,,,0.0,0.0,143.09748214463005,143.09748214463005,91887.70483116824,0.0,483.49910455548695,0.0,250.0,0.0,703.5623639735145,703.5623639735145,v2.1.1,0.2505562999867834,False
SURPLUS_FIRST,FAR_TARGET,250.0,2000.0,8.0,,,0.0,0.0,143.09748214463005,143.09748214463005,122488.170602379,0.0,733.499104555487,0.0,250.0,0.0,938.0831519646858,938.083151964686,v2.1.1,0.2505562999867834,False
SURPLUS_FIRST,FAR_TARGET,500.0,1000.0,2.0,,,0.0,0.0,143.09748214463005,143.09748214463005,61343.95703764728,0.0,0.0,0.0,469.041575982343,0.0,469.041575982343,469.041575982343,v2.1.1,0.2505562999867834,False
SURPLUS_FIRST,FAR_TARGET,500.0,2000.0,4.0,,,0.0,0.0,143.09748214463005,143.09748214463005,122559.47297350776,0.0,466.9982091109739,0.0,500.0,0.0,938.0831519646858,938.083151964686,v2.1.1,0.2505562999867834,False
