dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,revenue_bess_price_taker,soc_min,soc_max,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,initial_deliverable_mwh,engine_version,compute_time_sec,cache_hit,scenario_id,country,year,bess_power_mw,duration_h,bess_energy_mwh,h_negative_before,h_negative_after,h_below_5_before,h_below_5_after,baseload_price_before,capture_ratio_pv_before,capture_ratio_pv_after
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,1.0,1.0,0.0,0.0,126.82297211144484,126.82297211144484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2007684000000154,True,BASE,DE,2035,0.0,2.0,0.0,0.0,0.0,0.0,0.0,131.5431923573723,0.96411657523786,0.96411657523786
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,4.0,1.0,1.0,0.0,0.0,126.82297211144484,126.82297211144484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2007684000000154,True,BASE,DE,2035,0.0,4.0,0.0,0.0,0.0,0.0,0.0,131.5431923573723,0.96411657523786,0.96411657523786
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,6.0,1.0,1.0,0.0,0.0,126.82297211144484,126.82297211144484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2007684000000154,True,BASE,DE,2035,0.0,6.0,0.0,0.0,0.0,0.0,0.0,131.5431923573723,0.96411657523786,0.96411657523786
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,8.0,1.0,1.0,0.0,0.0,126.82297211144484,126.82297211144484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2007684000000154,True,BASE,DE,2035,0.0,8.0,0.0,0.0,0.0,0.0,0.0,131.5431923573723,0.96411657523786,0.96411657523786
SURPLUS_FIRST,FAR_TARGET,250.0,500.0,2.0,1.0,1.0,0.0,0.0,126.82297211144484,126.82297211144484,26951.081404706616,0.0,0.0,0.0,234.5207879911715,0.0,234.5207879911715,234.5207879911715,v2.1.1,0.2007684000000154,True,BASE,DE,2035,250.0,2.0,500.0,0.0,0.0,0.0,0.0,131.5431923573723,0.96411657523786,0.96411657523786
SURPLUS_FIRST,FAR_TARGET,250.0,1000.0,4.0,1.0,1.0,0.0,0.0,126.82297211144484,126.82297211144484,53837.58934807751,0.0,233.49910455548692,0.0,250.0,0.0,469.0415759823429,469.041575982343,v2.1.1,0.2007684000000154,True,BASE,DE,2035,250.0,4.0,1000.0,0.0,0.0,0.0,0.0,131.5431923573723,0.96411657523786,0.96411657523786
SURPLUS_FIRST,FAR_TARGET,250.0,1500.0,6.0,1.0,1.0,0.0,0.0,126.82297211144484,126.82297211144484,80723.66498810239,0.0,483.49910455548695,0.0,250.0,0.0,703.5623639735145,703.5623639735145,v2.1.1,0.2007684000000154,True,BASE,DE,2035,250.0,6.0,1500.0,0.0,0.0,0.0,0.0,131.5431923573723,0.96411657523786,0.96411657523786
SURPLUS_FIRST,FAR_TARGET,250.0,2000.0,8.0,1.0,1.0,0.0,0.0,126.82297211144484,126.82297211144484,107601.8060794665,0.0,733.499104555487,0.0,250.0,0.0,938.0831519646858,938.083151964686,v2.1.1,0.2007684000000154,True,BASE,DE,2035,250.0,8.0,2000.0,0.0,0.0,0.0,0.0,131.5431923573723,0.96411657523786,0.96411657523786
SURPLUS_FIRST,FAR_TARGET,500.0,1000.0,2.0,1.0,1.0,0.0,0.0,126.82297211144484,126.82297211144484,53902.16280941323,0.0,0.0,0.0,469.041575982343,0.0,469.041575982343,469.041575982343,v2.1.1,0.2007684000000154,True,BASE,DE,2035,500.0,2.0,1000.0,0.0,0.0,0.0,0.0,131.5431923573723,0.96411657523786,0.96411657523786
SURPLUS_FIRST,FAR_TARGET,500.0,2000.0,4.0,1.0,1.0,0.0,0.0,126.82297211144484,126.82297211144484,107675.17869615502,0.0,466.9982091109739,0.0,500.0,0.0,938.0831519646858,938.083151964686,v2.1.1,0.2007684000000154,True,BASE,DE,2035,500.0,4.0,2000.0,0.0,0.0,0.0,0.0,131.5431923573723,0.96411657523786,0.96411657523786
