country,year_range_used,marginal_tech,ttl_obs,ttl_obs_price_cd,ttl_physical,ttl_regression,ttl_method,tca_q95,alpha,alpha_effective,corr_cd,anchor_confidence,dTCA_dCO2,dTCA_dGas,ttl_target,co2_required_base,co2_required_gas_override,co2_required_base_non_negative,co2_required_gas_override_non_negative,warnings_quality
DE,2025-2035,COAL,257.0263157894737,219.42732104511347,257.0263157894737,144.192365946483,physical,257.0263157894737,-37.59899474436023,0.0,0.1544017096184802,0.6000000000000001,0.8973684210526316,2.631578947368421,160.0,41.87683284457478,,41.87683284457478,,
ES,2025-2035,CCGT,139.9090909090909,167.97663412963345,139.9090909090909,106.94287631391036,physical,139.9090909090909,28.067543220542547,0.0,0.1131828527396933,0.8,0.3672727272727272,1.818181818181818,160.0,204.7029702970297,,204.7029702970297,,
