country,reference_year,trend_window_years,trend_h_negative,trend_capture_ratio_pv_vs_ttl,trend_sr_energy,trend_far_energy,status,inversion_k_demand,inversion_r_mustrun,additional_absorbed_needed_TWh_year,additional_sink_power_p95_mw,warnings_quality
DE,2024,3,194.0,-0.0581393474385712,0.0025187483107753,0.0,degradation,0.3,1.0,0.0,0.0,
ES,2024,3,123.5,-0.1269114030103169,0.0061665969561111,-0.0002988495693314,degradation,0.3,1.0,0.0,0.0,
