country,scenario_id,metric,hist_value,scen_value,delta,scen_status,interpretability_status,interpretability_reason
BE,BASE,ttl_obs,294.49499999999983,149.5923061233486,-144.90269387665123,,INFORMATIVE,delta_interpretable
BE,BASE,tca_q95,285.85152727272725,121.54545454545452,-164.30607272727272,,INFORMATIVE,delta_interpretable
BE,BASE,co2_required_base_non_negative,0.0,204.7029702970297,204.7029702970297,,INFORMATIVE,delta_interpretable
CZ,BASE,ttl_obs,260.02199999999993,171.99049714983687,-88.03150285016306,,INFORMATIVE,delta_interpretable
CZ,BASE,tca_q95,235.95815789473687,158.8684210526316,-77.08973684210528,,INFORMATIVE,delta_interpretable
CZ,BASE,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
DE,BASE,ttl_obs,283.7215,205.3204350994656,-78.40106490053441,,INFORMATIVE,delta_interpretable
DE,BASE,tca_q95,280.9753684210526,158.8684210526316,-122.10694736842105,,INFORMATIVE,delta_interpretable
DE,BASE,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
ES,BASE,ttl_obs,214.73399999999992,162.1245619248363,-52.60943807516361,,INFORMATIVE,delta_interpretable
ES,BASE,tca_q95,287.6926909090909,121.54545454545452,-166.14723636363638,,INFORMATIVE,delta_interpretable
ES,BASE,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
FR,BASE,ttl_obs,413.99,178.36088679646616,-235.62911320353385,,INFORMATIVE,delta_interpretable
FR,BASE,tca_q95,370.8396,121.54545454545452,-249.29414545454543,,INFORMATIVE,delta_interpretable
FR,BASE,co2_required_base_non_negative,0.0,0.0,0.0,,FRAGILE,delta_quasi_nul_vs_historique
IT_NORD,BASE,ttl_obs,337.85399999999987,146.23632000246337,-191.6176799975365,,INFORMATIVE,delta_interpretable
IT_NORD,BASE,tca_q95,285.85152727272725,121.54545454545452,-164.30607272727272,,INFORMATIVE,delta_interpretable
IT_NORD,BASE,co2_required_base_non_negative,0.0,204.7029702970297,204.7029702970297,,INFORMATIVE,delta_interpretable
NL,BASE,ttl_obs,276.7635,152.230307331382,-124.53319266861796,,INFORMATIVE,delta_interpretable
NL,BASE,tca_q95,285.85152727272725,121.54545454545452,-164.30607272727272,,INFORMATIVE,delta_interpretable
NL,BASE,co2_required_base_non_negative,0.0,204.7029702970297,204.7029702970297,,INFORMATIVE,delta_interpretable
BE,HIGH_CO2,ttl_obs,294.49499999999983,155.4373761363129,-139.05762386368693,,INFORMATIVE,delta_interpretable
BE,HIGH_CO2,tca_q95,285.85152727272725,139.9090909090909,-145.94243636363635,,INFORMATIVE,delta_interpretable
