scenario_id,country,year,dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,revenue_bess_price_taker,soc_min,soc_max,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,initial_deliverable_mwh,engine_version,compute_time_sec,cache_hit,objective_not_reached,objective_target_value,objective_recommendation,pv_capacity_proxy_mw,power_grid_max_mw,duration_grid_max_h,notes_quality
,DE,2024,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,1.0,1.0,0.0,0.0,46.22796099131209,46.22796099131209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2741322999936528,True,False,0.95,,40714.24005000002,1500.0,8.0,ok
,ES,2024,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,0.9994023008613372,0.9994023008613372,0.002132,0.002132,42.80117347476487,42.80117347476487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2770795000251382,True,False,0.95,,20284.0,1500.0,8.0,ok
