country,bascule_year_market,bascule_year_physical,bascule_confidence,drivers_at_bascule,sr_energy_at_bascule,far_energy_at_bascule,ir_p10_at_bascule,ttl_at_bascule,capture_ratio_pv_vs_ttl_at_bascule,h_negative_at_bascule,notes_quality
DE,2019,,1.0,"h_negative, capture_ratio",0.0024665861472393,0.9726354077376408,0.3020039544090348,58.596,0.5957093107616995,211,ok
ES,2022,,1.0,capture_ratio,0.0081953864932027,0.9974824079415846,0.3243027490894576,273.494,0.5524031844748077,0,ok
