country,bascule_year_market,pre_window_start_year,pre_window_end_year,post_window_start_year,post_window_end_year,n_pre_years,n_post_years,pre_mean_capture_ratio_pv_vs_ttl,post_mean_capture_ratio_pv_vs_ttl,delta_post_minus_pre_capture_ratio_pv_vs_ttl,pre_mean_h_negative_obs,post_mean_h_negative_obs,delta_post_minus_pre_h_negative_obs,pre_mean_sr_energy,post_mean_sr_energy,delta_post_minus_pre_sr_energy,pre_mean_far_energy,post_mean_far_energy,delta_post_minus_pre_far_energy,pre_mean_ir_p10,post_mean_ir_p10,delta_post_minus_pre_ir_p10
DE,2019,2016,2018,2019,2021,1,3,0.6027951641084436,0.4464547742629128,-0.1563403898455307,133.0,216.0,83.0,0.0018559653932748,0.0018956237076787,3.965831440396308e-05,1.0,0.9908784692458804,-0.0091215307541197,0.4059062367977894,0.2803333304381389,-0.1255729063596504
ES,2021,2018,2020,2021,2023,3,3,0.7298223548668686,0.4787175790554543,-0.2511047758114142,0.0,0.0,0.0,0.0014113208858337,0.014426223060752,0.0130149021749183,0.9993495275779116,0.9940803241344454,-0.0052692034434663,0.3132010645280175,0.3161597634313351,0.0029586989033175
