country,year,n_hours_expected,n_hours_with_price,n_hours_with_load,n_hours_with_vre,n_hours_with_must_run,missing_share_price,missing_share_load,missing_share_generation,missing_share_net_position,load_net_mode,must_run_mode,entsoe_code_used,data_version_hash,load_total_twh,load_net_twh,gen_solar_twh,gen_wind_on_twh,gen_wind_off_twh,gen_vre_twh,gen_primary_twh,gen_must_run_twh,exports_twh,vre_penetration_pct_gen,pv_penetration_pct_gen,wind_penetration_pct_gen,vre_penetration_proxy,baseload_price_eur_mwh,peakload_price_eur_mwh,offpeak_price_eur_mwh,capture_rate_pv_eur_mwh,capture_rate_wind_eur_mwh,capture_ratio_pv,capture_ratio_wind,capture_price_pv_eur_mwh,capture_price_wind_eur_mwh,capture_ratio_pv_vs_baseload,capture_ratio_wind_vs_baseload,capture_ratio_pv_vs_ttl,capture_ratio_wind_vs_ttl,h_negative_obs,h_below_5_obs,days_spread_50_obs,days_spread_gt50,avg_daily_spread_obs,max_daily_spread_obs,surplus_twh,surplus_unabsorbed_twh,sr_energy_share_load,sr_energy_share_gen,sr_energy,sr_hours,far_observed,far_energy,ir_p10,ir_mean,ttl_price_based_eur_mwh,ttl_eur_mwh,tca_ccgt_median_eur_mwh,tca_method,h_regime_a,h_regime_b,h_regime_c,h_regime_d,regime_coherence,nrl_price_corr,completeness,quality_flag,h_negative,h_below_5,vre_penetration_share_gen,pv_penetration_share_gen,wind_penetration_share_gen,sr_hours_share,p10_load_mw,p10_must_run_mw,p50_load_mw,p50_must_run_mw,ir_p10_excess
DE,2018,8760,8760,8750,8760,8760,0.0,0.001141552511415525,0.0,0.00011415525114155251,entsoe_total_load_no_pumping_adjust,observed,"DE_AT_LU,DE_LU",fc4a9d60921bdf9622584b73439596dab0669c58debc359b7973c02885ab6e05,559.9527225899999,559.9527225899999,42.53518894,93.84295614749999,19.0654565625,155.44360164999998,575.9773977325,205.21734064749998,34.114891,26.987795399949416,7.384871195892748,19.60292420405667,0.2776012962862519,44.47275456621005,52.1181577266922,40.218063255152806,43.77257363689873,38.17753675887097,0.9842559576949769,0.8584477649576012,43.77257363689873,38.17753675887097,0.9842559576949769,0.8584477649576012,0.6055344788089055,0.5281346949178073,133,232,38,38,32.14734972677596,99.53,0.15389169749999995,0.0,0.0002748298048952968,0.00026718357023355205,0.00026718357023355205,0.008904109589041096,1.0,1.0,0.37949412707031116,0.3660721093180351,72.28749999999995,72.28749999999995,,none,0,78,7814,868,0.9888127853881279,0.6964810903936534,0.9988584474885844,OK,133.0,232.0,0.26987795399949416,0.07384871195892748,0.1960292420405667,0.008904109589041096,49206.191,18673.4605,63728.1,24085.081250000003,-0.6205058729296888
DE,2019,8760,8759,8759,8760,8760,0.00011415525114155251,0.00011415525114155251,0.0,0.00011415525114155251,entsoe_total_load_no_pumping_adjust,observed,"DE_AT_LU,DE_LU",2ead0a9da339783edacd7f22b12d41c625e65a2a99af6562cf4fed8867550224,502.47891799250004,502.47891799250004,41.83308617,99.9897749475,24.3804648275,166.203325945,515.6919337375,156.9665405575,34.1900773,32.229188604994086,8.112030348586776,24.11715825640731,0.3307667645222097,37.669692887315904,44.45564814814815,33.892615958770214,34.906182773392544,32.78952818581776,0.926638368882113,0.8704485137137555,34.906182773392544,32.78952818581776,0.926638368882113,0.8704485137137555,0.5979133739875393,0.5616568719735827,211,335,31,31,29.95035519125683,117.32000000000001,0.2857743125,0.003529419999999982,0.0005687289600959248,0.0005541570340820306,0.0005541570340820306,0.015639269406392695,0.9876496247366533,0.9876496247366533,0.2843253281938316,0.31234867052667953,58.38,58.38,,none,6,131,7760,863,0.9990866537275944,0.813246051355149,0.9997716894977169,OK,211.0,335.0,0.32229188604994086,0.08112030348586775,0.24117158256407312,0.015639269406392695,44252.279,12582.043750000003,56884.927500000005,18371.4075,-0.7156746718061684
DE,2020,8784,8783,8783,8784,8784,0.00011384335154826958,0.00011384335154826958,0.0,0.00011384335154826958,entsoe_total_load_no_pumping_adjust,observed,"DE_AT_LU,DE_LU",733a5defd1c10d00b64d81cb5fa9bb20285eaf0bdddb0211a2dd1080991d5985,490.2538991575,490.2538991575,45.93743737,103.4146983125,26.88256224,176.2346979225,493.92594583249996,138.029930155,21.1321214,35.680388813238146,9.300470598395796,26.379918214842345,0.3594763819836188,30.47081976545599,37.464856870229006,26.57132470296152,24.511203174738068,25.24537518940176,0.8044156134757428,0.8285098787536335,24.511203174738068,25.24537518940176,0.8044156134757428,0.8285098787536335,0.44293619528602535,0.4562032453178966,298,598,42,42,32.382179836512265,164.57999999999998,0.345342565,0.0,0.00070441574374721,0.0006991788301744984,0.0006991788301744984,0.015938069216757743,1.0,1.0,0.24397591911364153,0.28151579539155985,55.337999999999994,55.337999999999994,,none,0,140,7779,865,0.9982921553000114,0.7903113754356191,0.9997723132969034,OK,298.0,598.0,0.35680388813238145,0.09300470598395795,0.26379918214842346,0.015938069216757743,42656.7355,10407.216250000001,55683.177500000005,16086.86375,-0.7560240808863585
DE,2021,8760,8759,8759,8760,8760,0.00011415525114155251,0.00011415525114155251,0.0,0.00011415525114155251,entsoe_total_load_no_pumping_adjust,observed,"DE_AT_LU,DE_LU",ebf5faacd8e60ed01f73a092174fa747eb7fb51517519a8ad7c85c1342ac6ff9,509.6973813775,509.6973813775,46.4220778,89.86921309,24.0098839125,160.30117480250001,504.186187665,150.0659387725,23.4870805,31.79404329676125,9.207328351256729,22.58671494550452,0.31450264541142553,96.86022947825094,115.51968071519796,86.47433979029678,75.45790652091513,83.19114655913475,0.7790391053931841,0.8588782724060605,75.45790652091513,83.19114655913475,0.7790391053931841,0.8588782724060605,0.3018750960974995,0.33281251123815836,139,248,202,202,80.08633879781421,351.21000000000004,0.18532896000000001,0.0,0.0003636058704071285,0.00036758039893615543,0.00036758039893615543,0.008789954337899543,1.0,1.0,0.27015488274244776,0.2943880299169914,249.9639999999992,249.9639999999992,,none,0,77,7814,869,0.9737412946683411,0.5221576401467792,0.9997716894977169,OK,139.0,248.0,0.3179404329676125,0.09207328351256729,0.2258671494550452,0.008789954337899543,45579.835999999996,12313.615249999999,58128.347499999996,17753.003750000003,-0.7298451172575522
DE,2022,8760,8759,8759,8760,8760,0.00011415525114155251,0.00011415525114155251,0.0,0.00011415525114155251,entsoe_total_load_no_pumping_adjust,observed,"DE_AT_LU,DE_LU",8779e3327f0c26a267f8af48323efa726e51ef11fa8e9466e79634f0f6afb9d1,487.25054390749995,487.25054390749995,55.987503705,101.2674993075,24.7436552725,181.998658285,490.9224705575,152.84826037,28.8383439,37.072790348813975,11.40455103662695,25.66823931218703,0.3735217139532856,235.46672222856492,267.36034935897436,217.82031033871255,222.26978029580732,173.5038161884555,0.9439541103394327,0.7368506876315086,222.26978029580732,173.5038161884555,0.9439541103394327,0.7368506876315086,0.4327589952236369,0.3378117216890906,69,161,358,358,186.4810382513661,687.46,0.9049946575,0.0,0.001857349712208438,0.0018434573925130632,0.0018434573925130632,0.04257990867579909,1.0,1.0,0.31041471179310715,0.31365960253800035,513.6109999999999,513.6109999999999,,none,0,373,7548,839,0.9733987898161891,0.5909121520525994,0.9997716894977169,OK,69.0,161.0,0.3707279034881398,0.1140455103662695,0.2566823931218703,0.04257990867579909,42830.4555,13295.2035,55575.7675,18020.7975,-0.6895852882068929
DE,2023,8760,8759,8759,8760,8760,0.00011415525114155251,0.00011415525114155251,0.0,0.00011415525114155251,entsoe_total_load_no_pumping_adjust,observed,"DE_AT_LU,DE_LU",665add90b6dbd1e6064d153dc4fc9879ade96a1336b5746ce7f0ed15e4701e76,463.039837155,463.039837155,55.798730455,119.46608692750002,23.5168147175,198.7816321,444.473392015,128.784043015,16.7474867,44.72295432552947,12.55389669155199,32.169057633977474,0.4292970413114994,95.1827480305971,106.2381314102564,89.06591948927115,72.18210511017934,79.91071132318326,0.7583528171195051,0.8395503699630048,72.18210511017934,79.91071132318326,0.7583528171195051,0.8395503699630048,0.4296438792423975,0.4756462554466297,300,530,340,340,97.58131147540985,594.9,2.5567322000000003,0.0,0.005521624695855593,0.005752272792774322,0.005752272792774322,0.07751141552511416,1.0,1.0,0.23904623188592336,0.2780956006537334,168.00449999999992,168.00449999999992,,none,0,679,7273,808,0.9867564790501199,0.8419341186601034,0.9997716894977169,OK,300.0,530.0,0.4472295432552947,0.1255389669155199,0.3216905763397747,0.07751141552511416,40906.756499999996,9778.606000000002,52824.7425,14321.170000000002,-0.7609537681140767
DE,2024,8784,8783,8783,8784,8784,0.00011384335154826958,0.00011384335154826958,0.0,0.00011384335154826958,entsoe_total_load_no_pumping_adjust,observed,"DE_AT_LU,DE_LU",b93be6909a4bd71719b1711c2cd72a4765db54dc541bc67c20b93bca4544aa88,470.357313537993,470.357313537993,63.44404522,112.996908715,25.661745662500003,202.1026995975,428.492190735,123.19544645750001,11.7971791,47.1660170167465,14.806348071635412,32.359668945111096,0.4296790839230253,78.51545827166116,87.85491730279898,73.30828338357865,46.22796099131209,65.83122843523844,0.5887752808034911,0.838449266989748,46.22796099131209,65.83122843523844,0.5887752808034911,0.838449266989748,0.3164803003464944,0.45068582954109665,457,756,315,315,110.90152588555858,828.93,2.9484350598330002,0.0,0.006268500510080496,0.006880954014063825,0.006880954014063825,0.07570582877959928,1.0,1.0,0.22630464874543665,0.2618890318690237,146.069,146.069,,none,0,665,7307,812,0.9939656153933736,0.798724901005636,0.9997723132969034,OK,457.0,756.0,0.47166017016746503,0.1480634807163541,0.323596689451111,0.07570582877959928,41651.345,9425.893,53519.9775,14138.20625,-0.7736953512545633
ES,2018,8760,8759,8757,8760,8760,0.00011415525114155251,0.00034246575342465754,0.0,0.00011415525114155251,entsoe_total_load_no_pumping_adjust,observed,ES,bf4812e74b6b6f0f9588f795fbd3ecc39b9eb06714642c121e1f300e2a1b750f,254.516312,254.516312,12.023741,48.902871,0.0,60.926612,246.072839,66.932674,1.6264807,24.759584295282586,4.886252805820638,19.873331489461947,0.23938195364075524,57.300062792556226,61.49363026819923,54.96591434156745,59.342028861067455,53.09425838495249,1.0356363670298891,0.926600352554062,59.342028861067455,53.09425838495249,1.0356363670298891,0.926600352554062,0.8037930156251731,0.7191664133954488,0,57,5,5,18.345327868852458,63.3,0.001484,0.0,5.830667544797679e-06,6.030734663893564e-06,6.030734663893564e-06,0.00034246575342465754,1.0,1.0,0.2941978481508908,0.26288983729801124,73.82749999999999,73.82749999999999,,none,0,3,7881,876,0.9938349126612627,0.717322385044847,0.9995433789954338,OK,0.0,57.0,0.24759584295282586,0.04886252805820637,0.19873331489461948,0.00034246575342465754,22957.0,6753.9,29172.0,7745.0,-0.7058021518491092
ES,2019,8760,8759,8759,8760,8760,0.00011415525114155251,0.00011415525114155251,0.0,0.00011415525114155251,entsoe_total_load_no_pumping_adjust,observed,ES,586a010942020321b15fdadb915addba7ab6e7e6969ee7d40e9b3f149b11363c,249.964346,249.964346,14.421334,52.346548,0.0,66.767882,246.324252,67.57312,2.5393687999999996,27.105687506563502,5.8546139419516035,21.2510735646119,0.26710962210586625,47.67961867793127,51.243438697318005,45.69598898169539,48.57853958864,45.65081383781028,1.0188533578001284,0.9574492226159511,48.57853958864,45.65081383781028,1.0188533578001284,0.9574492226159511,0.756474758843297,0.7108836264199555,0,69,2,2,16.83762295081967,55.23,0.003224,0.0,1.2897839438269328e-05,1.308843921710153e-05,1.308843921710153e-05,0.0005707762557077625,1.0,1.0,0.29135819919783734,0.27030017382365396,64.217,64.217,,none,0,5,7879,876,0.9956616052060737,0.6819177627648636,0.9997716894977169,OK,0.0,69.0,0.27105687506563503,0.05854613941951603,0.212510735646119,0.0005707762557077625,22638.8,6596.0,28751.0,7890.0,-0.7086418008021627
ES,2020,8784,8783,8783,8784,8784,0.00011384335154826958,0.00011384335154826958,0.0,0.00011384335154826958,entsoe_total_load_no_pumping_adjust,observed,ES,aadf283bd90c9fdd7a58c5c8b1b316a5eeddca6e50f69b1cc7effcd15ec82f04,237.904532,237.904532,20.030933,53.148687,0.0,73.17962,238.656838,69.740548,5.5799319,30.66311471033568,8.393194667231786,22.269920043103898,0.30760078164463045,33.95808038255721,37.37387722646311,32.05361766270615,32.896135604866735,32.37432130900995,0.9687277736041889,0.9533613485890453,32.896135604866735,32.37432130900995,0.9687277736041889,0.9533613485890453,0.6328735759608061,0.6228346314667453,0,60,0,0,16.82008174386921,49.489999999999995,0.143823,0.0,0.0006045408163977305,0.0006026351526537865,0.0006026351526537865,0.015938069216757743,1.0,1.0,0.3059516604886905,0.29311172812074415,51.97899999999999,51.97899999999999,,none,0,140,7779,865,0.997609017420016,0.7267869347642084,0.9997723132969034,OK,0.0,60.0,0.3066311471033568,0.08393194667231786,0.222699200431039,0.015938069216757743,21150.4,6471.0,26795.0,8122.0,-0.6940483395113095
