country,reference_year,trend_window_years,status,stage3_ready_year,trend_h_negative,trend_capture_ratio_pv_vs_ttl,trend_h_negative_ols,trend_h_negative_ols_no_outliers,trend_capture_ols,trend_capture_ols_no_outliers,trend_points_n,inversion_k_demand,inversion_k_demand_status,inversion_r_mustrun,inversion_r_mustrun_status,inversion_f_flex,inversion_f_flex_status,additional_absorbed_needed_TWh_year,additional_sink_power_p95_mw,warnings_quality
BE,2035,3,amelioration,False,-21.0,0.0027543392236423,-21.0,-21.0,0.0027543392236423,0.0027543392236423,3,,beyond_bounds,,beyond_bounds,,beyond_bounds,0.0,-72.82669861345478,
CZ,2035,3,hors_scope_stage2,False,0.0,-0.0020822995941472,0.0,0.0,-0.0020822995941472,-0.0020822995941472,3,,beyond_bounds,,beyond_bounds,,beyond_bounds,0.0,-7.603722614522569,
DE,2035,3,hors_scope_stage2,False,0.0,0.0002362908109105,0.0,0.0,0.0002362908109105,0.0002362908109105,3,,beyond_bounds,,beyond_bounds,,beyond_bounds,0.0,0.0,
ES,2035,3,hors_scope_stage2,False,0.0,-1.807395799308109e-05,0.0,0.0,-1.807395799308109e-05,-1.807395799308109e-05,3,,beyond_bounds,,beyond_bounds,,beyond_bounds,0.0,0.0,
FR,2035,3,hors_scope_stage2,False,0.0,-0.0013636260240498,0.0,0.0,-0.0013636260240498,-0.0013636260240498,3,,beyond_bounds,,beyond_bounds,,beyond_bounds,0.0,0.0,
IT_NORD,2035,3,hors_scope_stage2,False,0.0,-0.0013734120224274,0.0,0.0,-0.0013734120224274,-0.0013734120224274,3,,beyond_bounds,,beyond_bounds,,beyond_bounds,0.0,0.0,
NL,2035,3,hors_scope_stage2,False,0.0,-0.0001910909815452,0.0,0.0,-0.0001910909815452,-0.0001910909815452,3,,beyond_bounds,,beyond_bounds,,beyond_bounds,0.0,0.0,
