scenario_id,country,year,dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,far_before_trivial,far_after_trivial,h_negative_before,h_negative_after,h_below_5_before,h_below_5_after,delta_h_negative,delta_h_below_5,baseload_price_before,baseload_price_after,capture_ratio_pv_before,capture_ratio_pv_after,capture_ratio_wind_before,capture_ratio_wind_after,delta_capture_ratio_pv,delta_capture_ratio_wind,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,wind_capture_price_before,wind_capture_price_after,days_spread_gt50_before,days_spread_gt50_after,avg_daily_spread_before,avg_daily_spread_after,low_residual_share_before,low_residual_share_after,sr_hours_share_before,sr_hours_share_after,ir_p10_before,ir_p10_after,turned_off_family_low_price,turned_off_family_physical,turned_off_family_value_pv,turned_off_family_value_wind,turned_off_family_any,revenue_bess_price_taker,soc_min,soc_max,soc_start_mwh,soc_end_mwh,soc_end_target_mwh,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,simultaneous_charge_discharge_hours,eta_roundtrip,eta_charge,eta_discharge,soc_boundary_mode,engine_version,compute_time_sec,cache_hit,bess_power_mw,duration_h,bess_energy_mwh
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,0.0,0.0,2.0,1.0,1.0,False,False,457,88,756,130,-369.0,-626.0,78.51545827166116,77.97667709943617,0.5887752808034911,0.7554693464285095,0.838449266989748,0.8880022897318235,0.1666940656250184,0.0495530227420755,0.0,0.0,46.22796099131209,58.90898928497797,65.83122843523844,69.24346780997837,319,217,112.00633879781418,57.74119094954938,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,0.0,2.0,0.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,0.0,0.0,4.0,1.0,1.0,False,False,457,88,756,130,-369.0,-626.0,78.51545827166116,77.97667709943617,0.5887752808034911,0.7554693464285095,0.838449266989748,0.8880022897318235,0.1666940656250184,0.0495530227420755,0.0,0.0,46.22796099131209,58.90898928497797,65.83122843523844,69.24346780997837,319,217,112.00633879781418,57.74119094954938,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,0.0,4.0,0.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,0.0,0.0,6.0,1.0,1.0,False,False,457,88,756,130,-369.0,-626.0,78.51545827166116,77.97667709943617,0.5887752808034911,0.7554693464285095,0.838449266989748,0.8880022897318235,0.1666940656250184,0.0495530227420755,0.0,0.0,46.22796099131209,58.90898928497797,65.83122843523844,69.24346780997837,319,217,112.00633879781418,57.74119094954938,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,0.0,6.0,0.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,0.0,0.0,8.0,1.0,1.0,False,False,457,88,756,130,-369.0,-626.0,78.51545827166116,77.97667709943617,0.5887752808034911,0.7554693464285095,0.838449266989748,0.8880022897318235,0.1666940656250184,0.0495530227420755,0.0,0.0,46.22796099131209,58.90898928497797,65.83122843523844,69.24346780997837,319,217,112.00633879781418,57.74119094954938,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,0.0,8.0,0.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,250.0,500.0,2.0,1.0,1.0,False,False,457,87,756,129,-370.0,-627.0,78.51545827166116,77.9886403464653,0.5887752808034911,0.7561208601759242,0.838449266989748,0.8880470413784095,0.1673455793724331,0.0495977743886615,0.0,0.0,46.22796099131209,58.968837822720126,65.83122843523844,69.25758132080337,319,216,112.00633879781418,57.57536689332872,0.0925546448087431,0.0948315118397085,0.0757058287795992,0.0745673952641165,0.2263046487454366,0.2263046487454366,False,False,False,False,False,1163983.669234567,0.0,500.0,0.0,0.0,0.0,250.0,250.0,56285.9165452539,49531.60655982343,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,250.0,2.0,500.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,250.0,1000.0,4.0,1.0,1.0,False,False,457,85,756,125,-372.0,-631.0,78.51545827166116,77.99760341399936,0.5887752808034911,0.7566258051848733,0.838449266989748,0.8881191791051526,0.1678505243813822,0.0496699121154046,0.0,0.0,46.22796099131209,59.01499948560769,65.83122843523844,69.27116751621035,319,215,112.00633879781418,57.46259228999008,0.0925546448087431,0.0951730418943533,0.0757058287795992,0.0742258652094717,0.2263046487454366,0.2262967082422165,False,False,False,False,False,3293574.118354515,0.0,1000.0,0.0,0.0,0.0,250.0,250.0,99847.00507244637,87865.3644637528,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,250.0,4.0,1000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,250.0,1500.0,6.0,1.0,1.0,False,False,457,82,756,119,-375.0,-637.0,78.51545827166116,78.0026823353337,0.5887752808034911,0.7569452015269665,0.838449266989748,0.8881676791826061,0.1681699207234754,0.0497184121928581,0.0,0.0,46.22796099131209,59.043756099963126,65.83122843523844,69.2794613397914,319,215,112.00633879781418,57.4073960628171,0.0925546448087431,0.0954007285974499,0.0757058287795992,0.0741120218579235,0.2263046487454366,0.2261115752389469,False,False,False,False,False,4774332.343999342,0.0,1500.0,0.0,0.0,0.0,250.0,250.0,129076.06714566956,113586.93908818922,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,250.0,6.0,1500.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,250.0,2000.0,8.0,1.0,1.0,False,False,457,81,756,119,-376.0,-637.0,78.51545827166116,78.00629596102713,0.5887752808034911,0.7571232053873128,0.838449266989748,0.8882071162939744,0.1683479245838217,0.0497578493042264,0.0,0.0,46.22796099131209,59.06037683840426,65.83122843523844,69.28574718831821,319,215,112.00633879781418,57.38889764692349,0.0925546448087431,0.0954007285974499,0.0757058287795992,0.0741120218579235,0.2263046487454366,0.226252281046016,False,False,False,False,False,5511195.497883972,0.0,2000.0,0.0,0.0,0.0,250.0,250.0,146537.61569122443,128953.1018082775,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,250.0,8.0,2000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,500.0,1000.0,2.0,1.0,1.0,False,False,457,86,756,128,-371.0,-628.0,78.51545827166116,78.00063559757524,0.5887752808034911,0.7567758033269009,0.838449266989748,0.888092583057258,0.1680005225234098,0.04964331606751,0.0,0.0,46.22796099131209,59.02899366436386,65.83122843523844,69.2717859479585,319,214,112.00633879781418,57.42007233072011,0.0925546448087431,0.0973360655737704,0.0757058287795992,0.072632058287796,0.2263046487454366,0.2263046487454366,False,False,False,False,False,2230063.022326547,0.0,1000.0,0.0,0.0,0.0,500.0,500.0,111101.3630905078,97769.19951964688,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,500.0,2.0,1000.0
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,500.0,2000.0,4.0,1.0,1.0,False,False,457,80,756,119,-377.0,-637.0,78.51545827166116,78.01879350399024,0.5887752808034911,0.7578107631334154,0.838449266989748,0.8882320656250008,0.1690354823299243,0.0497827986352528,0.0,0.0,46.22796099131209,59.1234814440072,65.83122843523844,69.29879411161964,319,213,112.00633879781418,57.18801938628515,0.0925546448087431,0.0979052823315118,0.0757058287795992,0.0720628415300546,0.2263046487454366,0.2261696898030456,False,False,False,False,False,6362635.777728528,0.0,2000.0,0.0,0.0,0.0,500.0,500.0,197462.6676448928,173767.1475275056,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,500.0,4.0,2000.0
