scenario_id,country,year,dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,far_before_trivial,far_after_trivial,h_negative_before,h_negative_after,h_below_5_before,h_below_5_after,delta_h_negative,delta_h_below_5,baseload_price_before,baseload_price_after,capture_ratio_pv_before,capture_ratio_pv_after,capture_ratio_wind_before,capture_ratio_wind_after,delta_capture_ratio_pv,delta_capture_ratio_wind,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,wind_capture_price_before,wind_capture_price_after,days_spread_gt50_before,days_spread_gt50_after,avg_daily_spread_before,avg_daily_spread_after,low_residual_share_before,low_residual_share_after,sr_hours_share_before,sr_hours_share_after,ir_p10_before,ir_p10_after,turned_off_family_low_price,turned_off_family_physical,turned_off_family_value_pv,turned_off_family_value_wind,turned_off_family_any,revenue_bess_price_taker,soc_min,soc_max,soc_start_mwh,soc_end_mwh,soc_end_target_mwh,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,simultaneous_charge_discharge_hours,eta_roundtrip,eta_charge,eta_discharge,soc_boundary_mode,engine_version,compute_time_sec,cache_hit,bess_power_mw,duration_h,bess_energy_mwh,objective_met,objective_reason,objective_not_reached,objective_target_value,objective_recommendation,pv_capacity_proxy_mw,power_grid_max_mw,duration_grid_max_h,grid_expansions_used,notes_quality
HIST,DE,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,0.0,0.0,2.0,1.0,1.0,False,False,457,88,756,130,-369.0,-626.0,78.51545827166116,77.97667709943617,0.5887752808034911,0.7554693464285095,0.838449266989748,0.8880022897318235,0.1666940656250184,0.0495530227420755,0.0,0.0,46.22796099131209,58.90898928497797,65.83122843523844,69.24346780997837,319,217,112.00633879781418,57.74119094954938,0.0925546448087431,0.0925546448087431,0.0757058287795992,0.0757058287795992,0.2263046487454366,0.2263046487454366,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,1.0337220000001253,True,0.0,2.0,0.0,True,already_met,False,200.0,,40714.24005000002,1500.0,8.0,0,ok
HIST,ES,2024,SURPLUS_FIRST,LOW_PRICE_TARGET,0.0,0.0,2.0,0.9994023008613372,0.9994023008613372,False,False,247,0,1690,694,-247.0,-996.0,63.03954912899921,60.30166671045595,0.6789574809169381,0.498110920417288,0.8821362744913085,0.9210045021837004,-0.18084656049965,0.0388682276923918,0.002132,0.002132,42.80117347476487,30.03691870784175,55.60947301426717,55.53810652951089,272,355,71.5241256830601,85.71764429141909,0.0837887067395264,0.0837887067395264,0.1691712204007286,0.1691712204007286,0.2951989701260838,0.2951989701260838,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.938083151964686,0.938083151964686,ZERO_END,v2.2.1,0.9800448999994842,True,0.0,2.0,0.0,True,already_met,False,200.0,,20284.0,1500.0,8.0,0,ok
