country,tech,phase2_start_year_for_slope,phase2_start_reason,phase2_end_year,years_used,n_points,x_axis_used,x_unit,slope,intercept,r2,p_value,n,slope_method,method,insufficient_points,robust_flag,reason_code,outlier_years_count,slope_all_years,slope_excluding_outliers,mean_sr_energy_phase2,mean_far_energy_phase2,mean_ir_p10_phase2,mean_ttl_phase2,vre_load_corr_phase2,surplus_load_trough_share_phase2
DE,PV,,q1_no_bascule,,,0,none,pct_point,,,,,0,none,none,True,NON_TESTABLE,q1_no_bascule,0,,,,,,,,
DE,WIND,,q1_no_bascule,,,0,none,pct_point,,,,,0,none,none,True,NON_TESTABLE,q1_no_bascule,0,,,,,,,,
ES,PV,2025.0,q1_bascule_pv,2035.0,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",11,pv_penetration_pct_gen,pct_point,-0.0003081187700604,0.938119769571597,0.8329752779464814,8.858030033687601e-05,11,ols,ols,False,ROBUST,ok,0,-0.0003081187700604,-0.0003081187700604,0.0,1.0,0.0824222844630902,167.9617114161014,,
ES,WIND,2025.0,q1_bascule_wind,2035.0,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035",11,wind_penetration_pct_gen,pct_point,0.0023149607167648,0.884790292042132,0.9674596265523212,5.303282383837733e-08,11,ols,ols,False,ROBUST,ok,0,0.0023149607167648,0.0023149607167648,0.0,1.0,0.0824222844630902,167.9617114161014,,
