country,year,residual_load_p10_mw,residual_load_p50_mw,residual_load_p90_mw,price_low_residual_median_eur_mwh,price_negative_median_eur_mwh,residual_negative_p10_mw,residual_negative_p50_mw,residual_negative_p90_mw
DE,2025,21186.571647392677,35576.84143472304,50014.81814156532,107.71388914929464,,,,
DE,2026,21841.701930130595,36451.68962651584,51129.16714840255,108.73277257703892,,,,
DE,2027,22518.67705808257,37330.33996702144,52242.383224727055,109.743560961231,,,,
DE,2028,23061.125782926323,38027.239622549765,53157.75919899103,110.7231987551528,,,,
DE,2029,23896.084229016396,39082.05997498928,54400.322716877214,111.75769087807394,,,,
DE,2030,24562.17659630911,39978.62298451667,55480.91430198373,112.76079031825012,,,,
DE,2031,25171.169027895743,40804.44104795648,56531.48108515992,113.7530696452165,,,,
DE,2032,25633.87661857113,41433.05395889608,57387.51571008752,114.7166648260468,,,,
DE,2033,26404.316264444416,42426.74528847165,58652.55108488125,115.74178206509151,,,,
DE,2034,26986.622612169624,43236.16231130151,59699.26313015457,116.74101785816416,,,,
DE,2035,27598.015301551783,44049.22905882682,60771.01364724475,117.7235116781508,,,,
ES,2025,10136.3081665962,16003.530894434418,23311.96273246512,82.08373862004026,,,,
ES,2026,10424.349491988954,16389.27493920507,23822.3339640468,82.67036392784303,,,,
ES,2027,10719.59926479357,16769.595075290876,24323.472386689933,83.25884901908448,,,,
ES,2028,10950.615283044142,17104.63981838333,24786.450302599347,83.821890629926,,,,
ES,2029,11303.32631583235,17542.089731520173,25361.87570657576,84.44474949715197,,,,
ES,2030,11595.734875893697,17932.419936917126,25879.490451957296,85.03774798771735,,,,
ES,2031,11889.24115305304,18315.90347130315,26389.529455246047,85.62795292167667,,,,
ES,2032,12123.27570604025,18647.204991440434,26849.90083961402,86.18070761371398,,,,
ES,2033,12493.212356052043,19107.251838208937,27424.063361153723,86.8076234624457,,,,
ES,2034,12778.08449892465,19494.785764320488,27935.526936540933,87.3963824667336,,,,
ES,2035,13072.217461913511,19880.000923504536,28464.21947150716,87.99537535656685,,,,
