country,driver_name,corr_capture_pv,elasticity_capture_pv,expected_sign,observed_sign,sign_conflict
BE,sr_energy,-0.7774180506589281,-0.2774778360743247,-1,-1,False
BE,far_energy,0.0742015113015029,1.6042467043319508,1,1,False
BE,vre_penetration_share_gen,-0.5738960177263774,-0.5200917054255302,-1,-1,False
BE,nrl_p10_proxy,0.5532158054574842,0.6569845805521204,1,1,False
BE,nrl_p50_proxy,0.4897948479199256,0.7356888069473365,1,1,False
BE,nrl_p90_proxy,0.5101894370336317,3.6495137322414593,1,1,False
BE,exports_pos_share_proxy,-0.1093615018152621,-0.0416484004374259,1,-1,True
BE,ir_p10,-0.4691733921279451,-0.4779856203929961,-1,-1,False
CZ,sr_energy,0.3803999123405317,0.2865897884734971,-1,1,True
CZ,far_energy,-0.7235061713166663,-0.6830835394053285,1,-1,True
CZ,vre_penetration_share_gen,-0.5509397251042004,-0.4975856078605207,-1,-1,False
CZ,nrl_p10_proxy,-0.5364775117693699,-0.1173354385833656,1,-1,True
CZ,nrl_p50_proxy,-0.8423266726016958,-0.5411219770126325,1,-1,True
CZ,nrl_p90_proxy,0.4914008026535483,2.935354898134068,1,1,False
CZ,exports_pos_share_proxy,-0.4844699123445161,-0.3620949880735444,1,-1,True
CZ,ir_p10,0.5500270362495888,1.6329072446699522,-1,1,True
DE,sr_energy,-0.4732381125405622,-0.106737667300861,-1,-1,False
DE,far_energy,-0.5551291900716333,-31.911034221754573,1,-1,True
DE,vre_penetration_share_gen,-0.5780169387256927,-0.7853657171176097,-1,-1,False
DE,nrl_p10_proxy,-0.5021287687605718,-3.441089920388856,1,-1,True
DE,nrl_p50_proxy,-0.2856026532774741,-3.182944859439354,1,-1,True
DE,nrl_p90_proxy,0.5501950875488749,2.3099612670182608,1,1,False
DE,exports_pos_share_proxy,0.7680427217306672,0.6570902854539116,1,1,False
DE,ir_p10,0.663355208069641,0.9407524321337428,-1,1,True
ES,sr_energy,-0.7273439725515087,-0.1672930199639397,-1,-1,False
ES,far_energy,0.6680767654718635,835.3854542558162,1,1,False
ES,vre_penetration_share_gen,-0.8998273546150982,-1.392548122986041,-1,-1,False
ES,nrl_p10_proxy,0.4816356124716308,3.310495647711506,1,1,False
ES,nrl_p50_proxy,0.6138649146023049,3.4224004011800058,1,1,False
ES,nrl_p90_proxy,0.6755728430025111,5.156311783126873,1,1,False
ES,exports_pos_share_proxy,-0.5934816679251145,-0.2566432560417713,1,-1,True
ES,ir_p10,0.1572265236773891,2.0966226813438924,-1,1,True
FR,sr_energy,-0.6127118889839384,-0.2893538154803579,-1,-1,False
FR,far_energy,0.6807936578573306,2.3493952086273007,1,1,False
FR,vre_penetration_share_gen,-0.4628139594688575,-0.5340495750398302,-1,-1,False
FR,nrl_p10_proxy,0.3429768758858461,0.028449139990816,1,1,False
FR,nrl_p50_proxy,0.3111250035941013,0.1268573251298692,1,1,False
FR,nrl_p90_proxy,0.4113662222238713,2.9803951817488894,1,1,False
FR,exports_pos_share_proxy,-0.1372901631623333,-0.0838106960926642,1,-1,True
FR,ir_p10,-0.3476690208607577,-0.7837692447631375,-1,-1,False
IT_NORD,sr_energy,0.1578732000308519,0.0121356740162472,-1,1,True
IT_NORD,far_energy,,,1,0,False
IT_NORD,vre_penetration_share_gen,-0.070632537835184,-0.072255022560615,-1,-1,False
IT_NORD,nrl_p10_proxy,0.2630846467173913,0.8082027609841352,1,1,False
IT_NORD,nrl_p50_proxy,0.1064892156075603,0.2828124687759547,1,1,False
IT_NORD,nrl_p90_proxy,0.2995415231551325,1.514700325856382,1,1,False
IT_NORD,exports_pos_share_proxy,-0.1856054562554637,-0.019576167965993,1,-1,True
IT_NORD,ir_p10,-0.2738508474376609,-0.2064616653586569,-1,-1,False
NL,sr_energy,,,-1,0,False
NL,far_energy,,,1,0,False
NL,vre_penetration_share_gen,-0.7531192205611258,-0.5176297887567974,-1,-1,False
NL,nrl_p10_proxy,0.1753688653523847,1.2837710400587543,1,1,False
NL,nrl_p50_proxy,0.5060181017199856,3.0485327379207394,1,1,False
NL,nrl_p90_proxy,0.4991692462173763,3.031301402407691,1,1,False
NL,exports_pos_share_proxy,-0.7611137992809922,-0.5681749029372591,1,-1,True
NL,ir_p10,-0.6632709128854289,-0.1825265830265211,-1,-1,False
