country,year_range_used,marginal_tech,chosen_anchor_tech,ttl_obs,ttl_obs_price_cd,ttl_anchor,ttl_physical,ttl_regression,ttl_method,tca_q95,alpha,alpha_effective,corr_cd,anchor_confidence,anchor_distribution_error_p90_p95,anchor_error_p90,anchor_error_p95,anchor_status,dTCA_dCO2,dTCA_dGas,ttl_target,required_co2_eur_t,required_gas_eur_mwh_th,co2_required_base,co2_required_gas_override,co2_required_base_non_negative,co2_required_gas_override_non_negative,warnings_quality
BE,2025-2035,CCGT,CCGT,149.5923061233486,149.5923061233486,180.8181818181818,180.8181818181818,,anchor_distributional,180.8181818181818,-31.225875694833206,-31.225875694833206,0.1123135206690465,0.5762375685742713,33.9009945140583,-36.57611333328339,-31.225875694833206,ok,0.3672727272727272,1.818181818181818,160.0,93.31683168316836,56.05,93.31683168316836,,93.31683168316836,,
CZ,2025-2035,COAL,COAL,171.99049714983687,171.99049714983687,236.30263157894737,236.30263157894737,,anchor_distributional,236.30263157894737,-64.3121344291105,-64.3121344291105,0.2745752627029276,0.1080242984319136,71.35805612544691,-78.40397782178331,-64.3121344291105,already_above_target,0.8973684210526316,1.4473684210526316,160.0,0.0,0.0,0.0,,0.0,,
DE,2025-2035,COAL,COAL,205.3204350994656,205.3204350994656,236.30263157894737,236.30263157894737,,anchor_distributional,236.30263157894737,-30.982196479481782,-30.982196479481782,0.1341727001209796,0.5671472969550202,34.62821624359839,-38.27423600771499,-30.982196479481782,already_above_target,0.8973684210526316,1.4473684210526316,160.0,0.0,0.0,0.0,,0.0,,
ES,2025-2035,CCGT,CCGT,162.1245619248363,162.1245619248363,180.8181818181818,180.8181818181818,,anchor_distributional,180.8181818181818,-18.6936198933455,-18.6936198933455,0.1018379828610176,0.7337782987658953,21.29773609872838,-23.90185230411126,-18.6936198933455,already_above_target,0.3672727272727272,1.818181818181818,160.0,0.0,0.0,0.0,,0.0,,
FR,2025-2035,CCGT,CCGT,178.36088679646616,178.36088679646616,180.8181818181818,180.8181818181818,,anchor_distributional,180.8181818181818,-2.457295021715652,-2.457295021715652,0.2077488296536916,0.8846605631160408,9.227154950716738,-15.997014879717824,-2.457295021715652,already_above_target,0.3672727272727272,1.818181818181818,160.0,0.0,0.0,0.0,,0.0,,
IT_NORD,2025-2035,CCGT,CCGT,146.23632000246337,146.23632000246337,180.8181818181818,180.8181818181818,,anchor_distributional,180.8181818181818,-34.58186181571844,-34.58186181571844,0.1974041660411457,0.544204398501224,36.46364811990208,-38.34543442408571,-34.58186181571844,ok,0.3672727272727272,1.818181818181818,160.0,93.31683168316836,56.05,93.31683168316836,,93.31683168316836,,
NL,2025-2035,CCGT,CCGT,152.230307331382,152.230307331382,180.8181818181818,180.8181818181818,,anchor_distributional,180.8181818181818,-28.58787448679982,-28.58787448679982,0.1088332944985918,0.6164084007419888,30.6873279406409,-32.78678139448198,-28.58787448679982,ok,0.3672727272727272,1.818181818181818,160.0,93.31683168316836,56.05,93.31683168316836,,93.31683168316836,,
