country,year,n_hours_expected,n_hours_with_price,n_hours_with_load,n_hours_with_vre,n_hours_with_must_run,missing_share_price,missing_share_load,missing_share_generation,missing_share_net_position,load_net_mode,must_run_mode,entsoe_code_used,data_version_hash,load_total_twh,load_net_twh,gen_solar_twh,gen_wind_on_twh,gen_wind_off_twh,gen_vre_twh,gen_primary_twh,gen_must_run_twh,exports_twh,vre_penetration_pct_gen,pv_penetration_pct_gen,wind_penetration_pct_gen,vre_penetration_proxy,baseload_price_eur_mwh,peakload_price_eur_mwh,offpeak_price_eur_mwh,capture_rate_pv_eur_mwh,capture_rate_wind_eur_mwh,capture_ratio_pv,capture_ratio_wind,capture_price_pv_eur_mwh,capture_price_wind_eur_mwh,capture_ratio_pv_vs_baseload,capture_ratio_wind_vs_baseload,capture_ratio_pv_vs_ttl,capture_ratio_wind_vs_ttl,h_negative_obs,h_below_5_obs,days_spread_50_obs,days_spread_gt50,avg_daily_spread_obs,max_daily_spread_obs,surplus_twh,surplus_unabsorbed_twh,sr_energy_share_load,sr_energy_share_gen,sr_energy,sr_hours,far_observed,far_energy,ir_p10,ir_mean,ttl_price_based_eur_mwh,ttl_eur_mwh,tca_ccgt_median_eur_mwh,tca_method,h_regime_a,h_regime_b,h_regime_c,h_regime_d,regime_coherence,nrl_price_corr,completeness,quality_flag,h_negative,h_below_5
DE,2018,8760,8760,8750,8760,8760,0.0,0.001141552511415525,0.0,0.00011415525114155251,minus_psh_pump,observed,"DE_AT_LU,DE_LU",d09251118754e4daccbc432c71f13ae370edd44e7a89e70648f6c5593e7047bf,559.9527225899999,546.468202485,42.53518894,93.84295614749999,19.0654565625,155.44360164999998,575.9773977325,205.21734064749998,34.114891,0.26987795399949416,0.07384871195892748,0.1960292420405667,0.28445132021065167,44.47275456621005,52.1181577266922,40.218063255152806,43.77257363689873,38.17753675887097,0.9842559576949769,0.8584477649576012,43.77257363689873,38.17753675887097,0.9842559576949769,0.8584477649576012,0.6027951641084436,0.525745521081731,133,232,38,38,32.14734972677596,99.53,1.0689941175000002,0.0,0.001956187226702075,0.0018559653932748086,0.0018559653932748086,0.032534246575342464,1.0,1.0,0.4059062367977894,0.3751052180982559,72.61599999999999,72.61599999999999,,none,0,285,7628,847,0.9843607305936073,0.7143395206268766,0.9988584474885844,OK,133.0,232.0
DE,2019,8760,8759,8759,8760,8760,0.00011415525114155251,0.00011415525114155251,0.0,0.00011415525114155251,minus_psh_pump,observed,"DE_AT_LU,DE_LU",6b1885d2f025c19044eb8b2114907646d0a46055c4e549b3cb8cf747514b1f18,502.47891799250004,491.50658644500004,41.83308617,99.9897749475,24.3804648275,166.203325945,515.6919337375,156.9665405575,34.1900773,0.32229188604994086,0.08112030348586775,0.24117158256407312,0.3381507603939266,37.669692887315904,44.45564814814815,33.892615958770214,34.906182773392544,32.78952818581776,0.926638368882113,0.8704485137137555,34.906182773392544,32.78952818581776,0.926638368882113,0.8704485137137555,0.5957093107616995,0.5595864595845751,211,335,31,31,29.95035519125683,117.32000000000001,1.27199858,0.03480772249999999,0.00258795836125044,0.0024665861472393693,0.0024665861472393693,0.03995433789954338,0.9726354077376408,0.9726354077376408,0.3020039544090348,0.31932150317217467,58.596,58.596,,none,8,342,7569,841,0.9982874757392396,0.8187692611447057,0.9997716894977169,OK,211.0,335.0
DE,2020,8784,8783,8783,8784,8784,0.00011384335154826958,0.00011384335154826958,0.0,0.00011384335154826958,minus_psh_pump,observed,"DE_AT_LU,DE_LU",a7cab4363eb99fae2c73215fa1f13fa3261829e9946ac6fa91f6de4b6830b3aa,490.2538991575,477.63568764250005,45.93743737,103.4146983125,26.88256224,176.2346979225,493.92594583249996,138.029930155,21.1321214,0.35680388813238145,0.09300470598395795,0.26379918214842346,0.3689730530655152,30.47081976545599,37.464856870229006,26.57132470296152,24.511203174738068,25.24537518940176,0.8044156134757428,0.8285098787536335,24.511203174738068,25.24537518940176,0.8044156134757428,0.8285098787536335,0.4419259738163702,0.4551627651813639,298,598,42,42,32.382179836512265,164.57999999999998,0.8798671800000001,0.0,0.0018421303155608454,0.0017813746927527884,0.0017813746927527884,0.030851548269581055,1.0,1.0,0.254416125535358,0.2889528984870114,55.4645,55.4645,,none,0,271,7661,852,0.9995445747466697,0.7943725226201258,0.9997723132969034,OK,298.0,598.0
DE,2021,8760,8759,8759,8760,8760,0.00011415525114155251,0.00011415525114155251,0.0,0.00011415525114155251,minus_psh_pump,observed,"DE_AT_LU,DE_LU",08c9fdcad24ab9af3184de28e095a15f6393e683a1028e3c18c87608cb7ca633,509.6973813775,499.18620870750004,46.4220778,89.86921309,24.0098839125,160.30117480250001,504.186187665,150.0659387725,23.4870805,0.3179404329676125,0.09207328351256729,0.2258671494550452,0.32112500707412184,96.86022947825094,115.51968071519796,86.47433979029678,75.45790652091513,83.19114655913475,0.7790391053931841,0.8588782724060605,75.45790652091513,83.19114655913475,0.7790391053931841,0.8588782724060605,0.3017290382106689,0.33265148473173023,139,248,202,202,80.08633879781421,351.21000000000004,0.72547869,0.0,0.001453322782851753,0.0014389102830441578,0.0014389102830441578,0.02442922374429224,1.0,1.0,0.28457991137002403,0.3005868458306974,250.085,250.085,,none,0,214,7691,855,0.9704304144308711,0.5173371335649842,0.9997716894977169,OK,139.0,248.0
DE,2022,8760,8759,8759,8760,8760,0.00011415525114155251,0.00011415525114155251,0.0,0.00011415525114155251,minus_psh_pump,observed,"DE_AT_LU,DE_LU",d2d97d1ce7bee1bfcce2ac2adeafececfcff7195165c70c4d2b8bd14d851763f,487.25054390749995,473.6585899075,55.987503705,101.2674993075,24.7436552725,181.998658285,490.9224705575,152.84826037,28.8383439,0.3707279034881398,0.1140455103662695,0.2566823931218703,0.384240172484874,235.46672222856492,267.36034935897436,217.82031033871255,222.26978029580732,173.5038161884555,0.9439541103394327,0.7368506876315086,222.26978029580732,173.5038161884555,0.9439541103394327,0.7368506876315086,0.427631029678141,0.3338088311915953,69,161,358,358,186.4810382513661,687.46,3.9815930525,0.0,0.00840603999872051,0.008110431465845176,0.008110431465845176,0.09920091324200914,1.0,1.0,0.3303288814071253,0.322660277243778,519.77,519.77,,none,0,869,7102,789,0.9316131978536363,0.5921283955916561,0.9997716894977169,OK,69.0,161.0
ES,2018,8760,8759,8757,8760,8760,0.00011415525114155251,0.00034246575342465754,0.0,0.00011415525114155251,minus_psh_pump,observed,ES,59edc76cd36a1fb56d32cc9a61fc9bedb32352778ce036ae583b0da40541c2fd,254.516312,251.148938,12.023741,48.902871,0.0,60.926612,246.072839,66.932674,1.6264807,0.24759584295282586,0.04886252805820637,0.19873331489461948,0.24259155736505644,57.300062792556226,61.49363026819923,54.96591434156745,59.342028861067455,53.09425838495249,1.0356363670298891,0.926600352554062,59.342028861067455,53.09425838495249,1.0356363670298891,0.926600352554062,0.8028523535604548,0.7183247880638646,0,57,5,5,18.345327868852458,63.3,0.072822,0.0,0.000289955436721775,0.0002959367652924913,0.0002959367652924913,0.009817351598173516,1.0,1.0,0.3089813620268453,0.2664146318284247,73.914,73.914,,none,0,86,7806,868,0.9923507249686038,0.743452289193609,0.9995433789954338,OK,0.0,57.0
ES,2019,8760,8759,8759,8760,8760,0.00011415525114155251,0.00011415525114155251,0.0,0.00011415525114155251,minus_psh_pump,observed,ES,57d9b3841908e0cac77f77bf02bcdfd2a8a7645f4917b38eac43d3792e51918a,249.964346,246.74796,14.421334,52.346548,0.0,66.767882,246.324252,67.57312,2.5393687999999996,0.27105687506563503,0.05854613941951603,0.212510735646119,0.2705914245451107,47.67961867793127,51.243438697318005,45.69598898169539,48.57853958864,45.65081383781028,1.0188533578001284,0.9574492226159511,48.57853958864,45.65081383781028,1.0188533578001284,0.9574492226159511,0.7557921367349668,0.7102421445011323,0,69,2,2,16.83762295081967,55.23,0.109492,0.0,0.0004437402440936087,0.00044450353187310194,0.00044450353187310194,0.010616438356164383,1.0,1.0,0.3036748524442235,0.2738235654451448,64.275,64.275,,none,0,93,7800,867,0.9932640712410092,0.7041166167477712,0.9997716894977169,OK,0.0,69.0
ES,2020,8784,8783,8783,8784,8784,0.00011384335154826958,0.00011384335154826958,0.0,0.00011384335154826958,minus_psh_pump,observed,ES,2a11bf132af5390284b3a95781cc63e9e48366a5967c4390a59d8fa1aae57d07,237.904532,233.058185,20.030933,53.148687,0.0,73.17962,238.656838,69.740548,5.5799319,0.3066311471033568,0.08393194667231786,0.222699200431039,0.3139972106107322,33.95808038255721,37.37387722646311,32.05361766270615,32.896135604866735,32.37432130900995,0.9687277736041889,0.9533613485890453,32.896135604866735,32.37432130900995,0.9687277736041889,0.9533613485890453,0.6308225743051842,0.6208161637840369,0,60,0,0,16.82008174386921,49.489999999999995,0.833753,0.001627,0.00357744569237077,0.0034935223603356383,0.0034935223603356383,0.04667577413479053,0.9980485827337353,0.9980485827337353,0.32694697911298387,0.29920686330873497,52.14799999999999,52.14799999999999,,none,1,409,7536,838,0.9945348969600364,0.738484478902048,0.9997723132969034,OK,0.0,60.0
ES,2021,8760,8759,8759,8760,8760,0.00011415525114155251,0.00011415525114155251,0.0,0.00011415525114155251,minus_psh_pump,observed,ES,91e8ccdd3850fe64732e5aec2b46a6fa90cc87e34b301772e5e9a9f0765705c4,243.928617,239.347595,25.354406,59.007867,0.0,84.362273,247.29159,66.875375,6.879464,0.3411449333962388,0.10252837955386998,0.23861655384236882,0.3524676026095019,111.94053088252083,119.24339399744571,107.87574195841478,102.39616733438757,103.78184356536731,0.9147371959656877,0.9271158779324007,102.39616733438757,103.78184356536731,0.9147371959656877,0.9271158779324007,0.39850619705930174,0.4038989825466718,0,202,130,130,49.48653005464481,248.98000000000002,1.29433,0.000548,0.005407741824186702,0.0052340235266391385,0.0052340235266391385,0.059817351598173515,0.9995766149281868,0.9995766149281868,0.3011517583195657,0.2793750270386953,256.95,256.95,,none,2,522,7412,824,0.9414316702819957,0.3850997910457044,0.9997716894977169,OK,0.0,202.0
ES,2022,8760,8759,8759,8760,8760,0.00011415525114155251,0.00011415525114155251,0.0,0.0028538812785388126,minus_psh_pump,observed,ES,1f9b313972dc9219f280cce5858a65c97a874b520e5057ba859b67e42188973b,236.074608,229.8533736,31.0917916,58.817717200000004,0.0,89.9095088,261.42073980000004,66.9526826,19.3090617,0.3439264569015652,0.11893391329160333,0.22499254360996188,0.3911602748823,167.52426875214064,170.57403846153846,165.83686291895728,151.07895653475305,160.5904117834413,0.9018332547284886,0.958609835933931,151.07895653475305,160.5904117834413,0.9018332547284886,0.958609835933931,0.5524031844748077,0.5871807490600939,0,114,329,329,94.1781693989071,281.45000000000005,2.142444,0.005393799999999999,0.009320916053763763,0.008195386493202785,0.008195386493202785,0.09440639269406392,0.9974824079415846,0.9974824079415846,0.32430274908945766,0.2912510638899894,273.49399999999997,273.49399999999997,,none,13,814,7140,793,0.9090078776115995,0.4968847220316642,0.9997716894977169,OK,0.0,114.0
