scenario_id,country,year,dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,h_negative_before,h_negative_after,h_below_5_before,h_below_5_after,baseload_price_before,capture_ratio_pv_before,capture_ratio_pv_after,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,revenue_bess_price_taker,soc_min,soc_max,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,initial_deliverable_mwh,engine_version,compute_time_sec,cache_hit
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,4.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,6.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,8.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,250.0,500.0,2.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,30422.60622694435,0.0,0.0,0.0,234.5207879911715,0.0,234.5207879911715,234.5207879911715,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,250.0,1000.0,4.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,60780.63899255299,0.0,233.49910455548692,0.0,250.0,0.0,469.0415759823429,469.041575982343,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,250.0,1500.0,6.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,91138.2394548156,0.0,483.49910455548695,0.0,250.0,0.0,703.5623639735145,703.5623639735145,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,250.0,2000.0,8.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,121487.90536841744,0.0,733.499104555487,0.0,250.0,0.0,938.0831519646858,938.083151964686,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,500.0,1000.0,2.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,60845.2124538887,0.0,0.0,0.0,469.041575982343,0.0,469.041575982343,469.041575982343,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,500.0,2000.0,4.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,121561.27798510596,0.0,466.9982091109739,0.0,500.0,0.0,938.0831519646858,938.083151964686,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,500.0,3000.0,6.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,182276.4789096312,0.0,966.998209110974,0.0,500.0,0.0,1407.124727947029,1407.124727947029,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,500.0,4000.0,8.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,242975.8107368349,0.0,1466.998209110974,0.0,500.0,0.0,1876.166303929372,1876.166303929372,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,750.0,1500.0,2.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,91267.81868083304,0.0,0.0,0.0,703.5623639735145,0.0,703.5623639735145,703.5623639735145,v2.1.1,0.2184483000000909,False
HIGH_GAS,DE,2035,SURPLUS_FIRST,FAR_TARGET,750.0,3000.0,4.0,1.0,1.0,0,0,0,0,146.93792919947757,0.9658121493366888,0.9658121493366888,0.0,0.0,141.91443721922963,141.91443721922963,182341.91697765896,0.0,700.4973136664609,0.0,750.0,0.0,1407.124727947029,1407.124727947029,v2.1.1,0.2184483000000909,False
