scenario_id,country,year_range_used,ttl_reference_mode,ttl_reference_year,marginal_tech,chosen_anchor_tech,fuel_used,assumed_co2_price_eur_t,assumed_gas_price_eur_mwh_th,assumed_coal_price_eur_mwh_th,assumed_efficiency,assumed_emission_factor_t_per_mwh_th,assumed_vom_eur_mwh,assumed_fuel_multiplier_vs_gas,ttl_obs,ttl_obs_price_cd,ttl_annual_metrics_same_year,ttl_anchor,ttl_anchor_formula,ttl_physical,ttl_regression,ttl_method,tca_q95,alpha,alpha_effective,corr_cd,anchor_confidence,anchor_distribution_error_p90_p95,anchor_error_p90,anchor_error_p95,anchor_status,dTCA_dCO2,dTCA_dFuel,dTCA_dGas,eta_implicit_from_dTCA_dFuel,ef_implicit_t_per_mwh_e,ttl_target,anchor_gap_to_target,required_co2_eur_t,required_gas_eur_mwh_th,required_co2_abs_eur_t,required_gas_abs_eur_mwh_th,delta_co2_vs_scenario,delta_gas_vs_scenario,required_co2_abs_raw_eur_t,required_gas_abs_raw_eur_mwh_th,co2_required_base,co2_required_gas_override,co2_required_base_non_negative,co2_required_gas_override_non_negative,warnings_quality
HIGH_BOTH,DE,2025-2035,year_specific,2035,COAL,COAL,coal,150.0,67.5,37.125,0.38,0.341,4.0,0.55,212.65801522615288,212.65801522615288,212.65801522615288,236.30263157894737,236.30263157894737,236.30263157894737,,anchor_distributional,236.30263157894737,-23.64461635279449,-23.64461635279449,,0.2232730752152134,62.13815398278293,-100.63169161277136,-23.64461635279449,already_above_target,0.8973684210526316,2.631578947368421,1.4473684210526316,0.3799999999999999,0.8973684210526316,160.0,-76.30263157894737,150.0,67.5,150.0,67.5,0.0,0.0,150.0,67.5,150.0,,150.0,,
HIGH_BOTH,ES,2025-2035,year_specific,2035,CCGT,CCGT,gas,150.0,67.5,,0.55,0.202,3.0,1.0,167.7630993635321,167.7630993635321,167.7630993635321,180.8181818181818,180.8181818181818,180.8181818181818,,anchor_distributional,180.8181818181818,-13.05508245464972,-13.05508245464972,-3.101658985689688e-16,0.4334257774444597,45.32593780444322,-77.59679315423672,-13.05508245464972,already_above_target,0.3672727272727272,1.818181818181818,1.818181818181818,0.55,0.3672727272727272,160.0,-20.818181818181813,150.0,67.5,150.0,67.5,0.0,0.0,150.0,67.5,150.0,,150.0,,
