country,reference_year,trend_window_years,trend_h_negative,trend_capture_ratio_pv_vs_ttl,trend_sr_energy,trend_far_energy,status,inversion_k_demand,inversion_r_mustrun,additional_absorbed_needed_TWh_year,additional_sink_power_p95_mw,warnings_quality
DE,2024,3,194.0,-0.057433927642047,0.0037125867654722,-0.0047237216458674,degradation,0.0583007812499999,0.285400390625,0.0,0.0,
ES,2024,3,123.5,-0.1245104472318578,0.0137389795707161,-0.0160798899375906,degradation,0.1746826171875,0.533203125,0.0,0.0,
