country,scenario_id,metric,hist_value,scen_value,delta,scen_status,interpretability_status,interpretability_reason
DE,BASE,ttl_obs,146.069,212.65801522615288,66.5890152261529,,INFORMATIVE,delta_interpretable
DE,BASE,tca_q95,131.51952631578948,158.8684210526316,27.348894736842112,,INFORMATIVE,delta_interpretable
DE,BASE,co2_required_base_non_negative,98.1964809384164,101.26099706744868,3.064516129032256,,INFORMATIVE,delta_interpretable
ES,BASE,ttl_obs,140.0,167.7630993635321,27.76309936353209,,INFORMATIVE,delta_interpretable
ES,BASE,tca_q95,113.00854545454544,121.54545454545452,8.536909090909091,,INFORMATIVE,delta_interpretable
ES,BASE,co2_required_base_non_negative,194.7029702970297,204.7029702970297,10.0,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,ttl_obs,146.069,228.36196259457392,82.29296259457394,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,tca_q95,131.51952631578948,203.7368421052632,72.2173157894737,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,co2_required_base_non_negative,98.1964809384164,150.0,51.80351906158359,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,ttl_obs,140.0,174.19037209080483,34.19037209080483,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,tca_q95,113.00854545454544,139.9090909090909,26.900545454545465,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,co2_required_base_non_negative,194.7029702970297,204.7029702970297,10.0,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,ttl_obs,146.069,233.3816994366792,87.3126994366792,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,tca_q95,131.51952631578948,191.43421052631575,59.9146842105263,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,co2_required_base_non_negative,98.1964809384164,100.0,1.8035190615835857,,INFORMATIVE,delta_interpretable
ES,HIGH_GAS,ttl_obs,140.0,182.0812811817139,42.08128118171391,,INFORMATIVE,delta_interpretable
ES,HIGH_GAS,tca_q95,113.00854545454544,162.45454545454544,49.446,,INFORMATIVE,delta_interpretable
ES,HIGH_GAS,co2_required_base_non_negative,194.7029702970297,100.0,-94.70297029702974,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,ttl_obs,146.069,212.65801522615288,66.5890152261529,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,tca_q95,131.51952631578948,236.30263157894737,104.78310526315788,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,co2_required_base_non_negative,98.1964809384164,150.0,51.80351906158359,,INFORMATIVE,delta_interpretable
ES,HIGH_BOTH,ttl_obs,140.0,167.7630993635321,27.76309936353209,,INFORMATIVE,delta_interpretable
ES,HIGH_BOTH,tca_q95,113.00854545454544,180.8181818181818,67.80963636363637,,INFORMATIVE,delta_interpretable
ES,HIGH_BOTH,co2_required_base_non_negative,194.7029702970297,150.0,-44.70297029702974,,INFORMATIVE,delta_interpretable
