country,tech,phase2_start_year_for_slope,phase2_start_reason,phase2_end_year,years_used,years_used_no_outliers,x_axis_used,x_unit,slope,intercept,r2,p_value,n,slope_method,robust_flag,reason_code,slope_all_years,slope_excluding_outliers,outlier_years_count,mean_sr_energy_phase2,mean_far_energy_phase2,mean_ir_p10_phase2,mean_ttl_phase2,vre_load_corr_phase2,surplus_load_trough_share_phase2
DE,PV,2025.0,q1_no_bascule_use_scenario_start,2040,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040",pv_penetration_pct_gen,pct_point,-8.665691831324744e-05,0.5990815216712065,0.1176986921840603,0.1932980903674911,16,OLS,ROBUST,ok,-8.665691831324744e-05,-8.665691831324744e-05,0,0.0,1.0,0.0480476934283593,208.91929272276943,,
DE,WIND,2025.0,q1_no_bascule_use_scenario_start,2040,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040",wind_penetration_pct_gen,pct_point,-2.265788457218344e-05,0.5958587211429737,0.1366188797842432,0.1588237666305213,16,OLS,ROBUST,ok,-2.265788457218344e-05,-2.265788457218344e-05,0,0.0,1.0,0.0480476934283593,208.91929272276943,,
ES,PV,2025.0,q1_no_bascule_use_scenario_start,2040,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040",pv_penetration_pct_gen,pct_point,-0.0002753139503283,0.5720262268067471,0.0676797013031545,0.3305056707188171,16,OLS,NOT_SIGNIFICANT,p_value_high,-0.0002753139503283,-0.0002753139503283,0,0.0,1.0,0.087875363307474,164.46492184638498,,
ES,WIND,2025.0,q1_no_bascule_use_scenario_start,2040,"2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040","2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040",wind_penetration_pct_gen,pct_point,-0.0001543374336055,0.5966678614298776,0.0583947772448268,0.3672378040743196,16,OLS,NOT_SIGNIFICANT,p_value_high,-0.0001543374336055,-0.0001543374336055,0,0.0,1.0,0.087875363307474,164.46492184638498,,
