scenario_id,country,year,dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,revenue_bess_price_taker,soc_min,soc_max,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,initial_deliverable_mwh,engine_version,compute_time_sec,cache_hit,bess_power_mw,duration_h,bess_energy_mwh,objective_not_reached,objective_target_value,objective_recommendation,pv_capacity_proxy_mw,power_grid_max_mw,duration_grid_max_h,notes_quality,h_negative_before,h_negative_after,h_below_5_before,h_below_5_after,baseload_price_before,capture_ratio_pv_before,capture_ratio_pv_after
HIGH_CO2,DE,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,1.0,1.0,0.0,0.0,138.25894900423287,138.25894900423287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.1968109999997978,True,0.0,2.0,0.0,False,0.95,,21963.55840765988,1500.0,8.0,ok,0.0,0.0,0.0,0.0,143.20898183105652,0.9654348996582968,0.9654348996582968
HIGH_CO2,ES,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,1.0,1.0,0.0,0.0,96.83590884777534,96.83590884777534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.1945883999997022,True,0.0,2.0,0.0,False,0.95,,14442.668017057573,1500.0,8.0,ok,0.0,0.0,0.0,0.0,104.12992291507832,0.929952756488147,0.929952756488147
