country,bascule_year_market,bascule_year_physical,bascule_confidence,drivers_at_bascule,sr_energy_at_bascule,far_energy_at_bascule,ir_p10_at_bascule,ttl_at_bascule,capture_ratio_pv_vs_ttl_at_bascule,h_negative_at_bascule,notes_quality
DE,,,0.0,capture_ratio,0.0,,0.0432640482437793,221.8789608116333,0.6001143033753848,0,ok
ES,2030.0,,1.0,capture_ratio,0.0,,0.0944955713769326,161.5278902675193,0.5703919152839889,0,ok
