country,tech,phase2_start_year_for_slope,phase2_start_reason,phase2_end_year,years_used,years_used_no_outliers,x_axis_used,x_unit,slope,intercept,r2,p_value,n,slope_method,robust_flag,reason_code,slope_all_years,slope_excluding_outliers,outlier_years_count,mean_sr_energy_phase2,mean_far_energy_phase2,mean_ir_p10_phase2,mean_ttl_phase2,vre_load_corr_phase2,surplus_load_trough_share_phase2
DE,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2030,2035","2025,2030,2035",pv_penetration_pct_gen,pct_point,-3.818113932333451e-05,0.6091951234557069,0.0241114612953457,0.9007449134131972,3,OLS,NOT_SIGNIFICANT,p_value_high,-3.818113932333451e-05,-3.818113932333451e-05,0,0.0,,0.0507979303450245,224.18013653772604,,
DE,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2030,2035","2025,2030,2035",wind_penetration_pct_gen,pct_point,1.567878306112553e-06,0.6056451053590062,0.0008017861727738,0.9819711736202916,3,OLS,NOT_SIGNIFICANT,p_value_high,1.567878306112553e-06,1.567878306112553e-06,0,0.0,,0.0507979303450245,224.18013653772604,,
ES,PV,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2030,2035","2025,2030,2035",pv_penetration_pct_gen,pct_point,2.7310489716200115e-05,0.5818206290154797,0.7958660557209807,0.2984443296407602,3,OLS,NOT_SIGNIFICANT,p_value_high,2.7310489716200115e-05,2.7310489716200115e-05,0,0.0,,0.0944100542629832,174.8897290357498,,
ES,WIND,2025.0,q1_no_bascule_use_scenario_start,2035,"2025,2030,2035","2025,2030,2035",wind_penetration_pct_gen,pct_point,1.4602802259567769e-05,0.6060973443073584,0.0807834570740797,0.816527918734854,3,OLS,NOT_SIGNIFICANT,p_value_high,1.4602802259567769e-05,1.4602802259567769e-05,0,0.0,,0.0944100542629832,174.8897290357498,,
