country,year,dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,revenue_bess_price_taker,soc_min,soc_max,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,initial_deliverable_mwh,engine_version,compute_time_sec,cache_hit,objective_not_reached,objective_recommendation,pv_capacity_proxy_mw,power_grid_max_mw,duration_grid_max_h,notes_quality
BE,2035,SURPLUS_FIRST,FAR_TARGET,1000.0,8000.0,8.0,0.7399553379352513,0.9571660564365532,0.0138700778428006,0.0022846465173401,90.12155446101264,90.12155446101264,1551678.0661174243,0.0,8000.0,1000.0,1000.0,11585.431325460417,13947.512174263911,3752.332607858744,v2.1.1,0.3621259000501595,True,False,,3075.7846875,1500.0,8.0,ok
CZ,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,0.9745675121650192,0.9745675121650192,0.0009200504363572,0.0009200504363572,133.48762331931374,133.48762331931374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.3306119000189937,True,False,,1311.244307636384,1500.0,8.0,ok
DE,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,,,0.0,0.0,127.9956494768802,127.9956494768802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2949954000068828,True,True,increase_grid_upper_bound,21963.55840765988,1500.0,8.0,ok
ES,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,,,0.0,0.0,95.40682213699849,95.40682213699849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2238077000365592,True,True,increase_grid_upper_bound,14442.668017057573,1500.0,8.0,ok
FR,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,,,0.0,0.0,133.13634098994672,133.13634098994672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2739606000250205,True,True,increase_grid_upper_bound,6448.049999999999,1500.0,8.0,ok
IT_NORD,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,,,0.0,0.0,118.9755343181332,118.9755343181332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.2783614000072703,True,True,increase_grid_upper_bound,4194.571334800102,1500.0,8.0,ok
NL,2035,SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,,,0.0,0.0,96.80013784036832,96.80013784036832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.295694199972786,True,True,increase_grid_upper_bound,1275.7543123735045,1500.0,8.0,ok
