country,bascule_year_market,pre_window_start_year,pre_window_end_year,post_window_start_year,post_window_end_year,n_pre_years,n_post_years,pre_mean_capture_ratio_pv,post_mean_capture_ratio_pv,delta_post_minus_pre_capture_ratio_pv,pre_mean_capture_ratio_wind,post_mean_capture_ratio_wind,delta_post_minus_pre_capture_ratio_wind,pre_mean_h_negative_obs,post_mean_h_negative_obs,delta_post_minus_pre_h_negative_obs,pre_mean_sr_hours_share,post_mean_sr_hours_share,delta_post_minus_pre_sr_hours_share,pre_mean_far_observed,post_mean_far_observed,delta_post_minus_pre_far_observed,pre_mean_ir_p10,post_mean_ir_p10,delta_post_minus_pre_ir_p10
DE,2019,2016,2018,2019,2021,1,3,0.9842559576949768,0.8366976959170133,-0.1475582617779636,0.8584477649576012,0.8526122216244832,-0.0058355433331179,133.0,216.0,83.0,0.008904109589041,0.0134557643203499,0.0045516547313088,1.0,0.9958832082455512,-0.0041167917544489,0.3794941270703111,0.2661520433499736,-0.1133420837203375
ES,2023,2020,2022,2023,2025,3,2,0.9284327414327884,0.7589262969740296,-0.1695064444587588,0.9463623541517924,0.8791151889250777,-0.0672471652267147,0.0,123.5,123.5,0.027649067212283,0.1503390348578985,0.1226899676456155,1.0,0.9994805384070118,-0.0005194615929882,0.2989708837099928,0.2951420547224846,-0.0038288289875081
