country,year,n_hours_expected,n_hours_with_price,n_hours_with_load,n_hours_with_vre,n_hours_with_must_run,missing_share_price,missing_share_load,missing_share_generation,missing_share_net_position,load_net_mode,must_run_mode,entsoe_code_used,data_version_hash,load_total_twh,load_net_twh,gen_solar_twh,gen_wind_on_twh,gen_wind_off_twh,gen_vre_twh,gen_primary_twh,gen_must_run_twh,exports_twh,vre_penetration_pct_gen,pv_penetration_pct_gen,wind_penetration_pct_gen,vre_penetration_proxy,baseload_price_eur_mwh,peakload_price_eur_mwh,offpeak_price_eur_mwh,capture_rate_pv_eur_mwh,capture_rate_wind_eur_mwh,capture_ratio_pv,capture_ratio_wind,capture_price_pv_eur_mwh,capture_price_wind_eur_mwh,capture_ratio_pv_vs_baseload,capture_ratio_wind_vs_baseload,capture_ratio_pv_vs_ttl,capture_ratio_wind_vs_ttl,h_negative,h_negative_obs,h_below_5,h_below_5_obs,days_spread_50_obs,days_spread_gt50,avg_daily_spread_obs,max_daily_spread_obs,surplus_twh,surplus_unabsorbed_twh,sr_energy_share_load,sr_energy_share_gen,sr_energy,sr_hours,far_observed,far_energy,ir_p10,ir_mean,ttl_price_based_eur_mwh,ttl_eur_mwh,tca_ccgt_median_eur_mwh,tca_method,h_regime_a,h_regime_b,h_regime_c,h_regime_d,regime_coherence,nrl_price_corr,completeness,quality_flag,scenario_id,mode,horizon_year,calib_mustrun_scale,calib_vre_scale_pv,calib_vre_scale_wind_on,calib_vre_scale_wind_off,calib_export_cap_eff_gw,calib_export_coincidence_used,calib_flex_realization_factor,calib_price_b_floor,calib_price_b_intercept,calib_price_b_slope_surplus_norm,stage2_market_score,flag_h_negative_stage2,flag_h_below_5_stage2,flag_capture_stage2,flag_days_spread_stage2,flag_non_capture_stage2,flag_capture_only_stage2,is_stage1_criteria,is_phase2_market,phase_market,stress_phys_state,quality_ok,flag_sr_stress,flag_far_tension,flag_ir_high
DE,2030,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:LOW_RIGIDITY,6822b3bcaa37e5fdfe6fe33a858fb86ff423e25f218903448d669bba4ef52b2b,525.9034,524.423312869,31.6974537475,98.74950692264126,21.756967075256217,152.20392774539746,171.19552185014746,17.29224,3.4586516,0.8890648896682362,0.1851535215695987,0.7039113680986374,0.2902310481063944,127.05800620843968,135.0552260542705,122.60752778677266,122.6165086811288,121.86322563093228,0.9650435445994284,0.9591148898638836,122.6165086811288,121.86322563093228,0.9650435445994284,0.9591148898638836,0.5977187820637748,0.5940467526433022,0,0,0,0,122,122,32.72793668961861,95.55565577835456,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0387133450001058,0.0329738201480748,205.14079925306075,205.14079925306075,,none,0,0,7884,876,1.0,0.6730077697988456,1.0,OK,LOW_RIGIDITY,SCEN,2030,9425.893,21.1595,38.4164,5.8601,1.65,0.45,0.8914973010374386,-26.5825,0.105,-21.08173750012614,3,False,False,True,False,0,True,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
DE,2040,8784,8784,8784,8784,8784,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:LOW_RIGIDITY,44075226f72526b300818ad8076af9efa828b4f9f9333f44a7d2ef4878afafc9,617.3648,615.8812870144999,36.75064727891181,109.3064128317157,25.451076930673285,171.50813704130078,190.5500263343008,17.339616,3.4966016,0.9000688183606286,0.1928661359218944,0.7072026824387344,0.2784759671343333,138.18507049247427,146.1588580248104,133.76647485353644,133.31322818131866,132.79007724104682,0.96474407623202,0.9609582045860644,133.31322818131866,132.79007724104682,0.96474407623202,0.9609582045860644,0.5999659874227242,0.5976115866274452,0,0,0,0,122,122,35.52503700469273,103.31705810147854,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0330380004770678,0.0281541530252595,222.20130970089272,222.20130970089272,,none,0,0,7905,879,1.0,0.6809304253072952,1.0,OK,LOW_RIGIDITY,SCEN,2040,9425.893,24.5451,42.3232,6.8368,1.65,0.45,0.8914973010374386,-26.5825,0.105,-21.08173750012614,3,False,False,True,False,0,True,False,False,uncertain,pas_de_surplus_structurel,True,False,False,False
ES,2030,8760,8760,8760,8760,8760,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:LOW_RIGIDITY,0a97a667845796f7f9d14e1303a8f2f68fde91570e85a6e1b8c8918b47c8eb24,256.5926,255.23969,31.101249710331462,46.29946036015223,0.0,77.4007100704837,115.2242108704837,17.29224,6.6676834000000005,0.6717399883734936,0.2699193986695246,0.4018205897039689,0.3032471559203182,98.98059642880098,97.6451187971206,99.72379400208152,92.44237525715238,96.53949978970414,0.933944415294045,0.9753376244721582,92.44237525715238,96.53949978970414,0.933944415294045,0.9753376244721582,0.570441195105838,0.5957236330391433,0,0,0,0,196,196,41.27425075912336,79.86783396069681,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0721602545060212,0.0677490244561886,162.05417149089467,162.05417149089467,,none,0,0,7884,876,1.0,0.7158297461481474,1.0,OK,LOW_RIGIDITY,SCEN,2030,6237.200000000001,13.6049,14.0905,2.1494,1.65,0.45,0.8687903652597629,-0.02,8.33,-19.73003920827475,4,False,False,True,True,1,False,False,True,phase2,pas_de_surplus_structurel,True,False,False,False
ES,2040,8784,8784,8784,8784,8784,0.0,0.0,0.0,0.0,minus_psh_pump,observed,SCEN:LOW_RIGIDITY,0a84191e7a1d1f5f2aafb74b583a46cff6215323bd67f93cf80faca90f1b5abf,301.2174,299.86286160000003,36.137043115351815,51.0458476562065,0.0,87.18289077155832,125.09963517155832,17.339616,6.671025300000001,0.6969076340790125,0.2888660951392419,0.4080415389397705,0.290742542462145,105.83318335371789,104.57387025083116,106.53101927697357,98.70838037659335,103.32908509984468,0.9326789315850792,0.97633919556682,98.70838037659335,103.32908509984468,0.9326789315850792,0.97633919556682,0.5702021567545948,0.5968942753859813,0,0,0,0,197,197,44.49741248034485,86.06799694489395,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0615852869243539,0.0578251534967676,173.11120136480957,173.11120136480957,,none,0,0,7905,879,1.0,0.7214704573561171,1.0,OK,LOW_RIGIDITY,SCEN,2040,6237.200000000001,15.7817,15.5234,2.5076,1.65,0.45,0.8687903652597629,-0.02,8.33,-19.73003920827475,4,False,False,True,True,1,False,False,True,phase2,pas_de_surplus_structurel,True,False,False,False
