dispatch_mode,objective,required_bess_power_mw,required_bess_energy_mwh,required_bess_duration_h,far_before,far_after,surplus_unabs_energy_before,surplus_unabs_energy_after,pv_capture_price_before,pv_capture_price_after,revenue_bess_price_taker,soc_min,soc_max,charge_max,discharge_max,charge_sum_mwh,discharge_sum_mwh,initial_deliverable_mwh,engine_version,compute_time_sec,cache_hit
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,2.0,0.8471721929850347,0.8471721929850347,0.008151421232843,0.008151421232843,90.12162981244096,90.12162981244096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.3371156000066548,True
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,4.0,0.8471721929850347,0.8471721929850347,0.008151421232843,0.008151421232843,90.12162981244096,90.12162981244096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.3371156000066548,True
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,6.0,0.8471721929850347,0.8471721929850347,0.008151421232843,0.008151421232843,90.12162981244096,90.12162981244096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.3371156000066548,True
SURPLUS_FIRST,FAR_TARGET,0.0,0.0,8.0,0.8471721929850347,0.8471721929850347,0.008151421232843,0.008151421232843,90.12162981244096,90.12162981244096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,v2.1.1,0.3371156000066548,True
SURPLUS_FIRST,FAR_TARGET,250.0,500.0,2.0,0.8471721929850347,0.8947212720795514,0.008151421232843,0.0056152821590472,90.12162981244096,90.12162981244096,244946.51550189304,0.0,500.0,250.0,250.0,2536.139073795799,2466.323172931475,234.5207879911715,v2.1.1,0.3371156000066548,True
SURPLUS_FIRST,FAR_TARGET,250.0,1000.0,4.0,0.8471721929850347,0.9222572402814132,0.008151421232843,0.0041465882069998,90.12162981244096,90.12162981244096,412199.2016026217,0.0,1000.0,250.0,250.0,4004.833025843189,3993.294638724349,469.041575982343,v2.1.1,0.3371156000066548,True
SURPLUS_FIRST,FAR_TARGET,250.0,1500.0,6.0,0.8471721929850347,0.9315724055816732,0.008151421232843,0.0036497425236187,90.12162981244096,90.12162981244096,486213.7987443576,0.0,1500.0,250.0,250.0,4501.678709224261,4665.039628090864,703.5623639735145,v2.1.1,0.3371156000066548,True
SURPLUS_FIRST,FAR_TARGET,250.0,2000.0,8.0,0.8471721929850347,0.9365689265876308,0.008151421232843,0.0033832416281742,90.12162981244096,90.12162981244096,536132.8233977321,0.0,2000.0,250.0,250.0,4768.179604668773,5134.081204073207,938.083151964686,v2.1.1,0.3371156000066548,True
SURPLUS_FIRST,FAR_TARGET,500.0,1000.0,2.0,0.8471721929850347,0.933624370731166,0.008151421232843,0.0035402962610875,90.12162981244096,90.12162981244096,461207.41131448257,0.0,1000.0,500.0,500.0,4611.124971755482,4526.831551127167,469.041575982343,v2.1.1,0.3371156000066548,True
SURPLUS_FIRST,FAR_TARGET,500.0,2000.0,4.0,0.8471721929850347,0.9639614327842274,0.008151421232843,0.0019221995508652,90.12162981244096,90.12162981244096,675461.494497384,0.0,2000.0,500.0,500.0,6229.221681977757,6419.798232105111,938.083151964686,v2.1.1,0.3371156000066548,True
SURPLUS_FIRST,FAR_TARGET,500.0,3000.0,6.0,0.8471721929850347,0.9739544747961426,0.008151421232843,0.0013891977599762,90.12162981244096,90.12162981244096,776296.3730983955,0.0,3000.0,500.0,500.0,6762.223472866783,7357.881384069797,1407.124727947029,v2.1.1,0.3371156000066548,True
